predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
l_amyg-ant_vmPFC_neg_vs_neu,C5SER,PA_score,79,,-0.48616841063323807,0.23154781273025304,0.0357600038004382,0.4257867357835097,0.05693468107863353,0.06002392427401299,0.4020532948825748,0.35572047390291167,-81.32735997434844,True,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,C5SER,NA_score,79,,-0.022759298576120537,0.06484096014985047,0.7255869418946772,-0.14695438840513078,0.013942027187350492,0.02895777822686207,0.11390534365192373,0.022719724861626253,11.759103122882635,True,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,C5SER,NA_score_log,79,,0.7785893697179616,0.5882055419080151,0.18561303879807567,-0.9768037858431141,0.11040008836055915,0.30476480364727876,0.09532048042540509,0.5077107350933487,-137.8397488377294,True,powell
l_amyg-post_vmPFC_neg_vs_neu,C5SER,PA_score,79,,-0.3378844829595185,0.22009134746409248,0.12473443350784486,-0.09400765803066212,0.5951764761040033,-0.03896027732109475,0.5724623523155785,0.4311317859565884,-84.39773978472743,True,lbfgs
l_amyg-post_vmPFC_neg_vs_neu,C5SER,NA_score,79,,0.004480367783884754,0.05231733218344586,0.9317539452813317,-0.04526413243859077,0.39566258995475945,0.04126058290878439,0.03529786148420144,0.017624238984442164,9.311508306415362,True,lbfgs
l_amyg-post_vmPFC_neg_vs_neu,C5SER,NA_score_log,79,,0.11789435552618882,0.4579245574335892,0.7968285800552433,-0.8129453887805139,0.1339858795928639,0.34169597429033455,0.054524973667417376,1.9393609745312188e-10,-139.33169898497914,True,powell
