predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed,re_var,log_likelihood,converged,degenerate_re,optimizer
l_amyg-ant_vmPFC_neg_vs_neu,PA_score,80,,0.30614680124570026,0.20333342424328113,1.5056393329579039,0.06607989277405157,0.13215978554810315,0.36600831907239845,-82.66685909895449,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,,-0.16536174682141128,0.05715294223526624,-2.893319929894611,0.0019059639850605992,0.0038119279701211983,0.021560090486708997,15.697198624987507,True,False,lbfgs
l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,80,,-1.0843562678920855,0.5594251464830192,-1.9383402314128904,0.026290863562959177,0.052581727125918354,0.3836811143091215,-141.75560649562183,True,False,powell
l_amyg-post_vmPFC_neg_vs_neu,PA_score,80,,-0.1358800457966508,0.17286964735370908,-0.786026048393714,0.7840738865949882,0.43185222681002355,0.4118620446309747,-83.76337918481335,True,False,lbfgs
l_amyg-post_vmPFC_neg_vs_neu,NA_score,80,,-0.0626842343481832,0.053016246885844984,-1.182358956550723,0.11853165072502492,0.23706330145004983,0.013875237337953875,12.97396589294138,True,False,lbfgs
l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,80,,-0.8055353738640503,0.5256218406403007,-1.5325378657834408,0.06269488046483995,0.1253897609296799,1.9836333177273948e-10,-142.42340424891043,True,False,powell
