specification,age_predictor,outcome,outcome_role,n,n_a_model,a,se_a,b,se_b,indirect_ab,boot_ci_low,boot_ci_high,boot_n_attempted,boot_n_converged,boot_convergence_fraction,mc_ci_low,mc_ci_high,mc_p_two_tailed,c_prime,se_c_prime,p_c_prime,c_total,se_c_total,p_c_total,expected_indirect_sign,indirect_sign_as_predicted,ci_level
primary_c5page,C5PAGE,PA_score,primary,81,81,-0.0013248197814481916,0.0015734661602858147,-0.6995706141184754,0.4760595215276783,0.0009268049881040159,-0.0013414306667247937,0.0051638005709860445,2000,2000,1.0,-0.001502715411721682,0.004531314085038649,0.48405,0.00994501870662177,0.007993208913877075,0.21343203206416472,0.010658725907626053,0.008236012501785068,0.19560982604742705,1,True,95.0
primary_c5page,C5PAGE,NA_score,primary,81,81,-0.0013248197814481916,0.0015734661602858147,0.27792707372427095,0.1357241284390131,-0.00036820328506992404,-0.0010952957072394621,0.0003607668849209639,2000,2000,1.0,-0.0015808854567281904,0.0005243708063702253,0.42366,-0.004344340969295118,0.0019010739461421992,0.022300893951895384,-0.004616833909803392,0.0019356452417438716,0.017071447606306966,-1,True,95.0
primary_c5page,C5PAGE,NA_score_log,robustness_log_na,81,81,-0.0013248197814481916,0.0015734661602858147,1.9500893839275775,1.2731125524149542,-0.0025835169914193716,-0.01041440642684025,0.002365953897262344,2000,2000,1.0,-0.012294073618214626,0.004066139981322844,0.47386,-0.05759740243147153,0.016857892762176068,0.0006339834200699279,-0.05854172301780394,0.016970550765818895,0.0005614041394117475,-1,True,95.0
sensitivity_c2page,C2PAGE,PA_score,primary,81,81,-0.0011487753013345642,0.0015737618638980322,-0.7097807245513256,0.47624212825317264,0.0008153785657279143,-0.0014859849083951268,0.0048337124008416416,2000,2000,1.0,-0.0016417130843397205,0.004322570095896102,0.53739,0.008967428878944335,0.007861128084294825,0.25398207380696114,0.009350025739992726,0.008114322631820188,0.24920329604426694,1,True,95.0
sensitivity_c2page,C2PAGE,NA_score,primary,81,81,-0.0011487753013345642,0.0015737618638980322,0.28264769029589826,0.13586618077950727,-0.00032469868559118907,-0.0010522755201761152,0.0003822188259455347,2000,2000,1.0,-0.001519941328846775,0.0005888597911869818,0.48422,-0.0041286364497073414,0.0018706644933248852,0.02731107499490415,-0.00434417490546747,0.001906107313884198,0.022662190172984653,-1,True,95.0
sensitivity_c2page,C2PAGE,NA_score_log,robustness_log_na,81,81,-0.0011487753013345642,0.0015737618638980322,2.0098143836465012,1.2739095091158874,-0.002308825124200051,-0.010367983589799245,0.0028411565577577216,2000,2000,1.0,-0.011931732635921805,0.004542083655587369,0.52789,-0.05602593701390078,0.016575157355248806,0.0007245552224492968,-0.05664617699330014,0.016700310985434307,0.0006940381936515472,-1,True,95.0
