predictor,moderator,outcome,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,r_squared,adj_r_squared
l_amyg-ant_vmPFC_neg_vs_neu,C5SES,PA_score,92,0.2563423742987259,0.21449960377730146,1.1950715515766948,0.23598072065060832,0.1118871172805117,0.66078331008116,-0.006764881027065184,0.9276074248391919,0.16535640799565876,-0.054896762116597886
l_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score,92,-0.00830933900956786,0.0744943528756946,-0.11154320681774742,0.9114959790623123,0.010725996024721261,0.9035268402094119,-0.0011916708777332616,0.9632424893579262,0.276536836195062,0.08562294574653673
l_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score_log,92,0.14749512697473094,0.45306994364297865,0.32554604216023175,0.7457120378275497,-0.8086771384286187,0.1359715996749893,-0.09087583916828823,0.5638210671747873,0.28426924481543137,0.09539585108617021
l_amyg-post_vmPFC_neg_vs_neu,C5SES,PA_score,92,-0.2243163455711597,0.22861120856028813,-0.9812132440216911,0.3297732549650306,0.22589422476313165,0.3721671277345969,-0.03475007570284128,0.6197115332297926,0.1692904484742227,-0.04992457206730183
l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,92,0.1003114944375936,0.07596247337416225,1.32054012964398,0.19083705144880167,-0.18495446863092183,0.030081493561229286,-0.0027005384621661688,0.907526122005808,0.34086556054514905,0.16692730568900782
l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score_log,92,0.35327312044112585,0.48043028605105453,0.735326499386394,0.46452924637412096,-0.8958207717061596,0.09447068129638948,-0.06895338133607495,0.6393449797668906,0.29484267871439507,0.10875949670847163
