predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_R,C5SER,PA_score,79,,0.52445136003537,0.795784611972474,0.5098721249836116,-0.8552654253146961,0.1701125112887727,0.011983019252372912,0.8515841561193871,0.4195707987515673,-82.0614074579536,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SER,NA_score,79,,0.005839570344592789,0.2260313883977501,0.9793887707838553,0.04724415918152428,0.782922809199952,0.04490283838592036,0.01993951399654348,0.01838989733819304,11.628859367214133,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SER,NA_score_log,79,,-2.081800301085231,2.0610838711483774,0.3124707458307061,0.964336844493666,0.5447486756867053,0.3657783130248572,0.036990337062234424,0.3378610278562387,-137.11872990245396,True,powell
