ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,df_resid,beta,se,t,p,r_squared,adj_r_squared,p_two_tailed
-0.009994595253204707,0.01423537899569574,95.0,two-sided,student_t,ok,C5PAGE,C5SPGP,230,182,0.002120391871245516,0.0061401271560767735,0.3453335439718056,0.3651212137753548,0.18726405635532584,-0.02261830271774934,0.7302424275507096
-0.013092441988532969,0.0020278695512742743,95.0,two-sided,student_t,ok,C5PAGE,C5SPGN,230,182,-0.005532286218629347,0.0038316440017729103,-1.4438413944692006,0.0752513785600227,0.14115320160232514,-0.0806369056761953,0.1505027571200454
-0.00645113040008014,0.00044308530913485895,95.0,two-sided,student_t,ok,C5PAGE,C5SPGN_log,230,182,-0.0030040225454726404,0.0017470658722603925,-1.7194672468680128,0.04361469839064687,0.17389221989393244,-0.03944330573785426,0.08722939678129374
