predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed
C5PAGE,C5SPGP,231,,-0.00023140887091216235,0.005370694637257505,-0.043087326042861585,0.5171840388648787,0.9656319222702425
C5PAGE,C5SPGN,231,,-0.007528023698582492,0.004897976600183639,-1.5369660398745566,0.0621508129186612,0.1243016258373224
C5PAGE,C5SPGN_log,231,,-0.0033717557292290107,0.0016517986647551501,-2.0412631400987444,0.020612339371781974,0.04122467874356395
