predictor,outcome,n,df_resid,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
l_amyg-ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,128,100,-0.03874776576092299,0.04440934560634428,-0.8725137745643231,0.3850183522156744,0.3850183522156744,0.15502481135762936,-0.0731184895758108
l_amyg-ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,127,100,-0.011326264759794147,0.10208634953592194,-0.1109478868750095,0.911880046208047,0.911880046208047,0.16939179987178998,-0.0465663321615446
l_amyg-post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,128,100,0.03877191438833061,0.042544143633817866,0.9113337601067905,0.36431118178572586,0.36431118178572586,0.15560512798190673,-0.07238148746297846
l_amyg-post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,127,100,-0.02378532155383052,0.09780940656555927,-0.24318030738575025,0.8083638542546367,0.8083638542546367,0.1697805207933505,-0.04607654380037829
