model,predictor,moderator,outcome,n,level,moderator_value,slope,se,ci_low,ci_high,p_two_sided
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SER,PA_score,80,−1 SD,4.09606678697432,-1.7139001381286663,0.6486755073707601,-2.985280770228602,-0.44251950602873014,0.008238075698948303
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SER,PA_score,80,Mean,5.1083333225,-0.7020912449026253,0.38832306095672786,-1.463190458744164,0.05900796893891336,0.07060523780899182
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SER,PA_score,80,+1 SD,6.12059985802568,0.3097176483234157,0.6202342614795654,-0.9059191661543311,1.5253544628011624,0.6175286691204365
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SES,PA_score,80,−1 SD,2.3445909433814967,-1.58094318779933,0.3121888299875637,-2.192822050950653,-0.9690643246480072,4.1041885359217816e-07
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SES,PA_score,80,Mean,3.590625,-0.8504180073680294,0.20685649952909682,-1.2558492964130858,-0.444986718322973,3.936940665690717e-05
06_persistence_affect_moderation,neg_persist_crossrun_mean_z_L,C5SES,PA_score,80,+1 SD,4.836659056618504,-0.11989282693672876,0.24346128920480065,-0.5970681854078284,0.3572825315343708,0.6224003455289411
07_fc_affect_moderation,l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,80,−1 SD,2.3445909433814967,-0.18287155164347574,0.08060488657646976,-0.34085422631129253,-0.024888876975658947,0.023284125537063532
07_fc_affect_moderation,l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,80,Mean,3.590625,-0.06141496847954633,0.057973596510108256,-0.1750411296936155,0.05221119273452283,0.2894353937105548
07_fc_affect_moderation,l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,80,+1 SD,4.836659056618504,0.06004161468438308,0.08787366018065534,-0.11218759445941287,0.232270823828179,0.4944349611051737
