predictor,outcome,n,df_resid,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
C5PAGE,pos_persist_crossrun_mean_z_L,128,101,0.0005844509893789145,0.0015847481056551489,0.368797405274258,0.7130506881430675,0.7130506881430675,0.14859218181810596,-0.07058210801089637
C5PAGE,pos_persist_crossrun_mean_z_R,128,101,0.001578159279610545,0.0015250816955380965,1.03480310873033,0.30323220636247405,0.30323220636247405,0.11250952204185405,-0.11595337327410427
