persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_L,PA_score,94,8,-1.0592628460907005,0.5039399668162489,-2.1019623682218054,0.035556572415415724,0.3411191992029212,-93.96307866670492,True,lbfgs
neg_persist_crossrun_mean_z_L,NA_score,94,8,0.28741835460627574,0.16454867369246323,1.74670720922037,0.08068813921909718,0.025344507014981314,7.463240135726835,True,lbfgs
neg_persist_crossrun_mean_z_L,NA_score_log,94,8,1.3723891372497843,1.2746987840185982,1.0766379904460321,0.281642025032928,1.9232254841538078e-10,-165.8317027637413,True,powell
neg_persist_crossrun_mean_z_L,C5SPGP,94,8,-1.27017258474019,0.5452687612475322,-2.329443157231554,0.019835601012153876,0.2333484391692781,-92.40464423233789,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SPGN,94,8,-0.023355819286789647,0.2867567806110344,-0.08144818489390906,0.9350855303645295,0.06298576723525445,-39.83040975136396,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SPGN_log,94,8,-0.023064887597700225,0.14176494902194806,-0.16269809820288736,0.8707561444530568,0.012923136734790085,21.570029470779446,True,lbfgs
neg_persist_crossrun_mean_z_R,PA_score,94,8,-0.04043665869369347,0.5304073360731969,-0.07623698984456195,0.9392305546668375,0.3698598478494949,-96.18275062050316,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score,94,8,-0.12078572096941982,0.1751102545273871,-0.6897695471656632,0.4903391222033888,0.027094108445423,6.22599384855107,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score_log,94,8,0.10366185488075988,1.3507722936511295,0.07674265704737139,0.9388282691645786,1.9918227311831903e-10,-166.35690586858942,True,powell
neg_persist_crossrun_mean_z_R,C5SPGP,94,8,-0.44065789308881786,0.561247558316614,-0.7851399735448498,0.432371504987931,0.29005224957599807,-94.79598303166415,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SPGN,94,8,-0.396802126566488,0.3111159048276552,-1.2754157547371268,0.20216212522505494,0.07367856255316171,-38.99046719385089,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SPGN_log,94,8,-0.21946863397868224,0.15434776067874434,-1.4219100621451768,0.15505236175546322,0.016249469172135267,22.589635333942596,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,PA_score,94,8,-1.1108821857907711,0.6420896416604636,-1.7301045114479587,0.08361160435150548,0.35681722714147124,-94.47482556393993,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,NA_score,94,8,0.1109887674626283,0.21526129469052105,0.5156002040320147,0.6061336677833535,0.02780072895365878,6.339980095400932,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,1.24316944381424,1.744706970170055,0.7125376725543026,0.4761318917373051,0.008798023973162077,-165.8506798532432,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGP,94,8,-1.8601300782225578,0.7032700869305709,-2.644972554344112,0.008169754319571156,0.24679470474867013,-91.34892912778963,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGN,94,8,-0.41325230046980055,0.37882054386490793,-1.0908919992923387,0.27532040801561763,0.06609986386982258,-38.95752579350332,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,94,8,-0.23006700570694352,0.18790238064802064,-1.2243964387971529,0.22080271208854396,0.014132796838733587,22.585198281380926,True,lbfgs
pos_persist_crossrun_mean_z_L,PA_score,94,8,-0.3025785594499403,0.3959940974478855,-0.7640986605608708,0.4448084504550378,0.3791635112841275,-96.20451053171354,True,lbfgs
pos_persist_crossrun_mean_z_L,NA_score,94,8,0.08612628764023844,0.13359137237918042,0.6446994750213436,0.519121956596174,0.02721261792011629,5.928726274726131,True,lbfgs
pos_persist_crossrun_mean_z_L,NA_score_log,94,8,-0.4114158671571529,1.0737909035354398,-0.38314337158433037,0.7016134628913255,2.0616053993551452e-10,-166.51941432726858,True,powell
pos_persist_crossrun_mean_z_L,C5SPGP,94,8,-0.3242229336543354,0.4435786117090495,-0.7309255340449069,0.46482463861069045,0.2986534892906763,-95.10649817381284,True,lbfgs
pos_persist_crossrun_mean_z_L,C5SPGN,94,8,-0.22652133611513456,0.24106121265502373,-0.9396838820324994,0.3473797351371296,0.057611447381571146,-39.5805572882671,True,lbfgs
pos_persist_crossrun_mean_z_L,C5SPGN_log,94,8,-0.1516089240721368,0.11892880009236356,-1.2747873009262087,0.20238453671820267,0.011079872381125833,22.183683756171376,True,powell
pos_persist_crossrun_mean_z_R,PA_score,94,8,0.9449986741859976,0.47789977583972515,1.9773992831980842,0.0479965149425609,0.31677234001138604,-94.2863539294006,True,lbfgs
pos_persist_crossrun_mean_z_R,NA_score,94,8,-0.14043407046051734,0.1450992692691943,-0.9678482267197233,0.3331201742212063,0.025956852388721988,6.248731146752959,True,lbfgs
pos_persist_crossrun_mean_z_R,NA_score_log,94,8,-0.31107262299037525,1.1118050085232944,-0.2797906292970776,0.7796381414338154,2.9853093227411452e-09,-166.5181620499814,True,powell
pos_persist_crossrun_mean_z_R,C5SPGP,94,8,0.1598320612956913,0.49156999122432465,0.3251460913991249,0.7450705065532385,0.274960279547224,-95.26120430745567,True,lbfgs
pos_persist_crossrun_mean_z_R,C5SPGN,94,8,-0.4356155938616691,0.24280654498141185,-1.794085056047471,0.07279959390155849,0.05898395409727655,-38.392254302534894,True,lbfgs
pos_persist_crossrun_mean_z_R,C5SPGN_log,94,8,-0.24542179671662892,0.1187384388091781,-2.0669110961703043,0.03874253197448957,0.01234055020691854,23.497310544557024,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,PA_score,94,8,0.19456311115838884,0.5667042666014971,0.3433238862399538,0.7313548130406589,0.3581460833227644,-96.18929266946236,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,NA_score,94,8,-0.028197519169035613,0.17181313282197652,-0.16411736813071418,0.8696387494052946,0.027414287858424046,5.9824733306680855,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,-0.7265849918743863,1.4413116667030548,-0.5041137240888514,0.6141814632890936,1.9426370491290961e-10,-166.18009021006765,True,powell
pos_persist_crossrun_mean_z_bilateral,C5SPGP,94,8,-0.3261418515986734,0.5934096883952011,-0.5496065500391162,0.5825892652633022,0.2987824465073601,-94.96900884859315,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,C5SPGN,94,8,-0.5653739183848947,0.31576652385392184,-1.7904808637867036,0.07337664089311466,0.05134943554525166,-38.127979835136955,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,94,8,-0.3371879691472201,0.1538833192013984,-2.1911924625561103,0.02843786782515272,0.00988739217492802,24.03595616260904,True,powell
neg_persist_concat_z_L,PA_score,95,8,-0.18456707259312144,0.18853222985058238,-0.9789682790014023,0.32759565318150696,0.34156198768054763,-98.77838468808548,True,lbfgs
neg_persist_concat_z_L,NA_score,95,8,0.04908958988238159,0.0594559837393203,0.825645911395743,0.40900498312344447,0.028189664957011192,5.781534450071661,True,lbfgs
neg_persist_concat_z_L,NA_score_log,95,8,0.18567921431905057,0.5183155290905412,0.3582358696542458,0.72016680597969,2.0644487213127218e-10,-170.2265512300091,True,powell
neg_persist_concat_z_L,C5SPGP,95,8,-0.2270901633624738,0.20286859525769374,-1.1193953557671785,0.2629715113956037,0.2595421638048364,-97.17446948481742,True,lbfgs
neg_persist_concat_z_L,C5SPGN,95,8,-0.011431548254910329,0.11551056256808022,-0.0989653933004849,0.9211657473211173,0.0375611665155571,-41.750899384460894,True,powell
neg_persist_concat_z_L,C5SPGN_log,95,8,-0.010120717862956053,0.05733538160373095,-0.1765178425584504,0.8598871324297149,0.0053997008998428716,20.24025465317945,True,powell
neg_persist_concat_z_R,PA_score,95,8,0.03410461528699936,0.17881921509190893,0.1907212000090168,0.8487440283577947,0.33635538268781445,-99.31449017195493,True,lbfgs
neg_persist_concat_z_R,NA_score,95,8,0.06361726141161428,0.05318663520764138,1.1961136695948444,0.2316522039295278,0.030016102938856717,6.032315996746149,True,lbfgs
neg_persist_concat_z_R,NA_score_log,95,8,0.5386579626652616,0.5018177047076952,1.0734136273231443,0.2830855729568552,1.9865906908764438e-10,-169.74263729390847,True,powell
neg_persist_concat_z_R,C5SPGP,95,8,0.15224785472711042,0.1960088448319756,0.7767397173205202,0.4373123490900692,0.2546260829643844,-97.55410367552327,True,lbfgs
neg_persist_concat_z_R,C5SPGN,95,8,0.12231584269601922,0.2971989374937477,0.4115621802941083,0.680660356751204,5.109025409851843e-08,-41.40840492140546,True,lbfgs
neg_persist_concat_z_R,C5SPGN_log,95,8,0.04821056795271761,0.06710767080237745,0.7184062175945709,0.47250685423292216,1.1229087196822983e-10,20.48093658710198,True,powell
neg_persist_concat_z_bilateral,PA_score,95,8,-0.10194179722151665,0.19503700408437585,-0.5226792613027175,0.6011974725635713,0.3378627406005847,-99.09464778879607,True,lbfgs
neg_persist_concat_z_bilateral,NA_score,95,8,0.07369386357352102,0.059126102890590025,1.2463845910813356,0.21262323551126883,0.02929576640252489,6.213947420722178,True,lbfgs
neg_persist_concat_z_bilateral,NA_score_log,95,8,0.5174587130117737,0.580145707701416,0.8919461199876609,0.372421812710912,0.0013225693043253932,-169.7761665716246,True,powell
neg_persist_concat_z_bilateral,C5SPGP,95,8,-0.06850056823743017,0.21447201061964494,-0.319391644809599,0.7494295457924962,0.26283416504930096,-97.69808947508736,True,lbfgs
neg_persist_concat_z_bilateral,C5SPGN,95,8,0.0863089874777455,0.1455518124810175,0.5929777582742345,0.5531960373566696,0.02190213944515504,-41.46819761669033,True,powell
neg_persist_concat_z_bilateral,C5SPGN_log,95,8,0.03602621652544324,0.06967207789894403,0.5170825617932268,0.6050985261404292,0.0025080114016317926,20.47117474960811,True,powell
