fc_var,condition,seed_target,persistence_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,8,0.032110549404702336,0.03720154359706043,0.8631509958968376,0.3880544527503096,1.6454723190014933e-11,73.83757976363319,True,False,powell,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.024540110010274455,0.029238345590663566,0.8393125368252929,0.4012939498976995,1.3863128447920054e-12,89.67674906550928,True,False,powell,secondary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.030232144170302577,0.026825332875223564,1.1269997770736189,0.25974257523809263,9.845055154443218e-13,116.79810359148601,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,8,0.015215702728290275,0.037588340672903064,0.4047984682457418,0.6856256548173039,0.0004985063628479457,67.47324927351647,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.016932932392067883,0.03509950915653823,-0.4824264725911037,0.6295030192436346,6.784571880785837e-11,79.00621502180903,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,-0.003427034207372677,0.02706299761300214,-0.1266317300241047,0.8992318821689071,0.00010094219297257795,113.36330623348437,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,8,0.02715922980590029,0.09671054284708656,0.28083008332238385,0.7788407285942809,1.3678977138054017e-11,-50.301596447295424,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,8,0.03044356906237756,0.11514641890765555,0.2643900639827324,0.791479367011447,8.788989036715254e-12,-39.30913670683566,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,8,0.020423997686083627,0.09278819840402329,0.2201141744034341,0.8257822359367961,7.379254522252566e-12,-27.170845422718457,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,8,-0.004715580770631845,0.03429095248254149,-0.1375167625639061,0.8906223440051657,2.9361648852678776e-12,73.37238609086143,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.07130869978562664,0.017977112460457738,3.966638131817692,7.289353691208866e-05,9.719328606614011e-08,92.23831879319602,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.028937833384399928,0.024577944082484066,1.1773903174034406,0.23903975274303635,9.391845733630866e-13,116.76582469795989,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,8,0.07519106741669361,0.034342369131899565,2.1894548721407503,0.028563795137570347,0.0009253203859562589,69.67364669781082,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.011583800485332791,0.03266802927026377,-0.3545913464659774,0.7228957599605299,1.1450027956485886e-10,78.8755782759676,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,0.03185940762412291,0.025123009086488363,1.2681366119179376,0.20474916891379857,0.00029402303287602403,114.07975756197192,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,8,0.02353134700657822,0.08283744580622915,0.28406654475588294,0.7763593847068617,1.0528145821720287e-11,-50.38064300038235,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,8,0.10563863560329416,0.34628583448632566,0.3050619606198927,0.7603189621444899,0.0007986847391927025,-38.56467622387919,False,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,8,0.04943113417501824,0.07049287888028082,0.7012216689145002,0.4831646889170007,7.347295776328363e-12,-27.02321565103057,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,8,0.042353008044035335,0.03704785411694243,1.1431973336524988,0.25295666907887737,1.7413883510763465e-12,74.15116154785142,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.007644401965578533,0.01625178727163789,0.4703730019232595,0.6380885494626629,1.4261705264601685e-12,89.37737972402851,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.022773213705859077,0.02581055064255881,0.8823218853885475,0.3776027646468303,9.48341085522885e-13,116.5065746356604,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,8,0.03598117238098608,0.0360426020931575,0.9982956360361372,0.3181360231191712,0.0005828444103909332,67.8509917071504,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.0009238111311340558,0.036876329133720985,-0.02505160228351718,0.9800138038352186,1.2852400444080504e-10,78.84946176361456,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,0.019131716446881428,0.026077942533211163,0.7336359615992145,0.46317063736432784,0.00016738622951445293,113.58663009199279,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,8,0.08582194898159573,0.08869111291269269,0.9676499275195548,0.33321923330827685,1.2667375887444158e-11,-49.86729115905041,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,8,0.09282212384171448,0.060719145763259104,1.528712610740989,0.1263357046526823,0.0009960557712467085,-38.83687395294908,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,8,0.08628898431827611,0.06479752167142923,1.3316710592084726,0.18296830330063973,7.302529045187674e-12,-26.511841331708183,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,8,0.029803556601371326,0.03194659861171955,0.9329179911641031,0.35086231246447097,2.1218910990532542e-08,73.7561422697674,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,8,-0.04636582644264653,0.027700549940840768,-1.6738233190918097,0.09416532796294619,6.019695297026879e-11,90.59505973099579,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,-0.002746841912538174,0.023635468562054153,-0.1162169434181696,0.9074806088366258,1.1024988658267015e-09,116.03640002845785,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,8,-0.057480515563339926,0.03320718853214266,-1.7309660379017655,0.08345782199970331,0.0010004240836335755,68.75454608111576,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.002729556932521709,0.030863931233333093,-0.08843840766382291,0.9295282359717096,1.1284491442257813e-10,78.77421525224702,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,-0.032196315803643696,0.02409743236024904,-1.3360890622004409,0.18152016463181697,0.00031985659355603964,114.12457211355664,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,8,-4.3427196271845716e-05,0.07943292178954477,-0.0005467153328050152,0.9995637842985312,1.0792808640035957e-11,-50.463924291568105,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,8,-0.07188120262245082,0.12444141545889416,-0.5776308663589159,0.5635133631625471,8.741253491293225e-12,-38.99570454186062,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,8,-0.029241920096761496,0.0807086409230701,-0.36231461417661986,0.7171169384855114,7.366800886296268e-12,-27.224959962622165,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,8,-0.010518030729024375,0.03185145728432649,-0.3302213344630891,0.741232727607779,1.3526655885666882e-09,73.36741634071029,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.012668376818110541,0.022316651659283503,0.567664764926356,0.5702626212325492,1.3911909534164231e-12,89.35836074055828,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.004420935184935811,0.023385857203630324,0.18904311039107533,0.8500590287081156,9.608534294869417e-13,116.03764206336723,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,8,-0.018379906299827203,0.033094284567525105,-0.5553800766511542,0.5786347171267234,0.0006331522103751826,67.41918325703557,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.012385341053124237,0.03154193112462759,-0.39266273850474237,0.6945685949770906,1.1870142799448652e-10,78.84282024028926,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,-0.018740049731023986,0.023879213428457557,-0.7847850511144107,0.43257960625710634,0.00018767913543985866,113.53626660863227,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,8,-0.050695197405852425,0.07785300064666292,-0.6511656196263184,0.5149395810959034,1.1538223541499986e-11,-50.25695474731833,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,8,-0.05337235846803274,0.06453537480791219,-0.827024846867228,0.4082229785211453,8.761437722505421e-12,-39.22304155434483,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,8,-0.05637094823954975,0.06655834800952183,-0.8469403151575416,0.3970283898326432,7.338793059406572e-12,-26.95956938374536,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,8,0.04120749237773122,0.03860636814685633,1.0673755226334778,0.2858022970183338,3.855442478887535e-11,74.08255091958142,True,False,powell,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.042541289656114194,0.024238958527733844,1.7550791057065882,0.07924577772693131,8.475289371829496e-11,90.22782214538037,True,False,powell,secondary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.04032468216369515,0.028045413057104757,1.4378352025547965,0.1504808185446167,9.42385701390425e-13,117.24025949006207,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,8,0.09575720114556807,0.03999187507076761,2.3944163902322897,0.016646838332898817,1.8767245800046926e-12,70.37055317266243,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,8,-0.01071478474141591,0.036880841007188164,-0.2905244145416199,0.7714150757193254,1.7880896450488348e-12,78.98696344424906,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,0.04318307069042914,0.028989735973805334,1.4895986196441624,0.13632980518599802,9.743030672840166e-13,114.55332665117612,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,8,0.06024605668819445,0.09458476330809995,0.636953083996724,0.5241554037802405,1.443739485852259e-11,-50.07917323044711,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,8,0.07060630859070499,0.04047392660163889,1.7444887244482468,0.08107390586524721,8.771396964510773e-12,-38.98085812161605,True,False,powell,sensitivity
