persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
neg_persist_crossrun_mean_z_L,PA_score,C5SER,83,-2.1706022585226776,0.820961261961259,-2.64397646892273,0.010806275210880787,-2.97439863655698,0.005391916057461899,0.0026959580287309495,0.03646907197341677,0.036632454812157954,0.4487487647994364,0.1307192060298804,primary
neg_persist_crossrun_mean_z_L,NA_score,C5SER,83,0.3211620289243473,0.21073869831958933,1.5239822181937313,0.1335722928653344,0.7381961527700214,0.007004279835537861,0.0035021399177689303,-0.005296261535737243,0.23037956704210144,0.41490657816394305,0.07735268095083325,primary
neg_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,2.0585611112753064,1.9784473857118103,1.0404932302683767,0.3029245897198169,3.083892703364665,0.21707126367209625,0.10853563183604813,-0.02398614054726903,0.5607767082854385,0.38907462209034793,0.03661767329631793,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,C5SER,131,-0.09278168206331017,0.44602637193596567,-0.20801837716589208,0.8357242071503047,-0.9320098434852544,0.07810873911487862,0.03905436955743931,-0.0004723294825731139,0.947495980813058,0.39310954803680576,0.049448689696201864,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,C5SER,131,-0.5419331210305277,0.3366688472691934,-1.6096919136602184,0.11126217935765664,-0.3615680115056494,0.36190121402637987,0.18095060701318993,0.0006351597036610319,0.9066113314513712,0.23003971040518378,-0.20596189936537468,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,131,-0.2520965663553072,0.14464224298479342,-1.74289724186461,0.08505505356780806,-0.1457739878232891,0.3920750624904368,0.1960375312452184,6.561569404311745e-05,0.9774948734508705,0.2886378193214769,-0.11418172877359023,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,C5SER,83,0.7516718048833845,0.8106604850799211,0.9272338034451981,0.35808904174224077,0.22796237348926152,0.8563857148623206,0.4281928574311603,-0.05508640371480662,0.3204022290387136,0.3672041601146988,0.002129637103948201,secondary
neg_persist_crossrun_mean_z_R,NA_score,C5SER,83,-0.21505919419331698,0.2062256518657955,-1.0428343527955972,0.3018491205461401,-0.13424715155270464,0.6754647659197158,0.3377323829598579,0.015225171595469631,0.28075816208624604,0.34036550259056164,-0.04019286129949884,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,-4.651363733321469,1.7270119647353765,-2.6933013947208986,0.009500257884155682,-3.9447840394447486,0.14561300364809585,0.07280650182404792,0.32697760241393403,0.007249127261541374,0.45196132270678346,0.1357851627299278,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,C5SER,131,-1.0704866978804888,0.5176318680177348,-2.0680463549895127,0.041749470224668385,-1.4860900702074191,0.021434141192167445,0.010717070596083723,0.06711935933639757,0.04849059392847508,0.4150809452909582,0.083861721540055,sensitivity
