fc_var,condition,seed_target,affect_var,n,r,p
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,93,0.0554750567825089,0.5973927436612211
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,93,-0.02733948557307718,0.7947594530674671
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,93,0.052063437501352845,0.6201572860433529
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,148,-0.044961873865427486,0.5873904463033103
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.14913986234844678,0.0704335299964694
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.15382229851884321,0.06195927630747679
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,93,0.09559494278581865,0.36202894256512064
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,93,-0.05516378350007802,0.5994542099235834
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,93,0.028555043333492826,0.7858481646126371
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,148,-0.07096555068754962,0.39139276832828374
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,148,-0.11322686091706177,0.17062592851676428
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.09970676185832615,0.22793037186369478
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,93,-0.058075868036514294,0.580293723163059
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,93,0.07981425726474639,0.44695263907063354
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,93,0.10622961281738844,0.310841887065931
