persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,beta_moderator,p_moderator,r_squared,adj_r_squared
neg_persist_crossrun_mean_z_L,PA_score,C5SER,94,-2.1665931023893386,0.7106342742854745,-3.0488159392083856,0.0033757186820180677,-2.5057432344828627,0.006102168169023864,0.05474208122362577,0.009526723207641669,0.4291581507769354,0.14373722616540308
neg_persist_crossrun_mean_z_L,NA_score,C5SER,94,0.28204102369897416,0.2318669302122402,1.216391761605706,0.22844635789213122,0.6545669115283135,0.026477977786292173,-0.006681344162680751,0.3207720581971674,0.565084125143448,0.34762618771517195
neg_persist_crossrun_mean_z_L,NA_score_log,C5SER,94,1.2936018215462952,1.6506410012297112,0.7836966491093912,0.43620186014237783,1.7281015652410943,0.40241857939208925,-0.01847616297940513,0.6987609389420344,0.4092441214017746,0.11386618210266186
neg_persist_crossrun_mean_z_L,C5SPGP,C5SER,94,-1.6463395773899023,0.6513682716893971,-2.527509626957934,0.014050814414437224,-2.286815639938595,0.006313272372246844,0.04366331102626997,0.023169422161919733,0.4687794136829182,0.2031691205243773
neg_persist_crossrun_mean_z_L,C5SPGN,C5SER,94,-0.4302113452654167,0.3957025379714901,-1.0872089612334328,0.28115312462363756,-0.4249447197044106,0.39047624598884423,0.009734702658488276,0.39611605927799953,0.369060260814283,0.053590391221424505
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,94,-0.2081159201826504,0.1896602163710147,-1.0973093048440508,0.2767497607321741,-0.21484029078329386,0.36518903175670814,0.004480929980273742,0.4149964832948706,0.3868961609641076,0.08034424144616148
neg_persist_crossrun_mean_z_R,PA_score,C5SER,94,0.44886589753479766,0.6531890229913726,0.6871914281093581,0.49452467447518933,0.32355702776437045,0.7410978408976232,-0.0379432502547621,0.44478969945140834,0.33504632416576685,0.0025694862486502767
neg_persist_crossrun_mean_z_R,NA_score,C5SER,94,-0.17394724343680074,0.2038656912177993,-0.8532443217773447,0.3968082591515958,-0.30200515734777583,0.3247990920975635,0.014180869857913711,0.3606729475113196,0.5364398924742733,0.3046598387114099
neg_persist_crossrun_mean_z_R,NA_score_log,C5SER,94,-3.383627926227504,1.3480957194644587,-2.509931511073766,0.01470015476583391,-3.043264764625124,0.1354919485110624,0.2696901955135249,0.010241633868179435,0.4567066547724349,0.18505998215865227
neg_persist_crossrun_mean_z_R,C5SPGP,C5SER,94,-0.41302634677626826,0.5885938260488927,-0.7017170899477961,0.48548146223085564,-0.9035240754794414,0.30772020314086423,0.02977329462403623,0.5055513473567024,0.40194209877865195,0.10291314816797792
neg_persist_crossrun_mean_z_R,C5SPGN,C5SER,94,-0.5396078228893517,0.3298715884101002,-1.6358117578119669,0.10694613075493149,-0.9506788190821933,0.05807072820350905,0.038590439290366214,0.12652605611046205,0.39545286825631365,0.09317930238447047
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,94,-0.2909414660269878,0.15611665765556645,-1.8636157755111538,0.06711292961996419,-0.5478976966439365,0.02189713035022098,0.020709359199065726,0.0839950606435071,0.42724330690815004,0.14086496036222507
