sample,outcome,age_var,beta_age,se_age,p_age,n,r2
daily_diary_full,PA_score,C2PAGE,0.0083034569335957,0.0021895646271818258,0.0001584933637594287,1173,0.20543552178139413
daily_diary_full,NA_score,C2PAGE,-0.0026435943219563223,0.0008043802009102875,0.0010507977041756507,1173,0.13600677709265852
daily_diary_full,NA_score_log,C2PAGE,-0.027862574350844615,0.005907277059803729,2.749013430715395e-06,1173,0.1830773456430589
neuro_sample,PA_score,C2PAGE,0.012534629485141682,0.007363133089948116,0.09173562281458529,137,0.2558399204379499
neuro_sample,PA_score,C5PAGE,0.012602650649667549,0.007358067513913231,0.08979380220566141,137,0.25609219585289544
neuro_sample,NA_score,C2PAGE,-0.004524159932791073,0.002860171640791885,0.11679597989462308,137,0.32590904948444355
neuro_sample,NA_score,C5PAGE,-0.004075485393260094,0.0028652608941367144,0.15796735235643578,137,0.32280590915561
neuro_sample,NA_score_log,C2PAGE,-0.04839452331557571,0.020822534749527825,0.022100727221058065,137,0.271042299882264
neuro_sample,NA_score_log,C5PAGE,-0.04736379366987322,0.020834401109973862,0.0251013133794353,137,0.26945379443872375
neuro_sample,C5SPGP,C5PAGE,-0.0028826850528362,0.006798860090064204,0.6720929132006044,231,0.20738766345027615
neuro_sample,C5SPGN,C5PAGE,-0.0094575644361671,0.005911571424994308,0.11144838053771429,231,0.10011515759368961
