persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,p_persistence_one_tailed,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,PA_score,83,7,-1.1369300585444255,0.5847928476951686,-1.944158624759833,0.05187632549714639,0.025938162748573194,0.3249598161110503,-83.87311245938807,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score,83,7,0.360161232374601,0.14501884406689772,2.483547808507268,0.01300808719921011,0.006504043599605055,0.01000972953772192,20.93062713659623,True,powell,primary
neg_persist_crossrun_mean_z_L,NA_score_log,83,7,1.9172361302086884,1.3723479902060134,1.3970480839345112,0.16239911209614255,0.08119955604807128,2.172963289973415e-10,-149.25504211624744,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,131,8,-0.9343963643150982,0.41216163223936386,-2.267062946248343,0.023386380716775085,0.011693190358387543,1.419115318020219e-10,-121.68589410103732,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,131,8,-0.1331917380374407,0.522494130929707,-0.2549152806758694,0.7987885337985777,0.39939426689928886,4.241434343897712e-11,-76.04005092857318,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,131,8,-0.051867472854884314,0.13831455497332018,-0.37499649161933213,0.7076630758747139,0.35383153793735694,1.9680841555377184e-10,23.799601381087314,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,83,7,-0.7743746410682306,0.5769974671706487,-1.342076326375289,0.1795712489122807,0.08978562445614036,0.4003449701618904,-85.06154292026739,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score,83,7,0.02963082761823892,0.16441787436810834,0.18021658370244886,0.8569825396699522,0.4284912698349761,0.012630249915326025,18.054355997607843,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,83,7,0.9245564662401518,1.5051950152430598,0.61424364077558,0.5390543390567013,0.26952716952835065,2.0372496091445439e-10,-149.9531998079116,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,131,8,-0.6816175691162285,0.4671061525866547,-1.4592348341842467,0.1445004842952712,0.0722502421476356,0.03485958275479742,-123.07830147235683,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN,131,8,0.015098337759775853,0.31998935803693274,0.047183874652585236,0.9623666793703697,0.48118333968518484,5.735618462600006e-10,-76.01216888789219,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,131,8,-0.04154626236527048,0.14192821196672217,-0.29272730058074575,0.76973060065864,0.38486530032932,1.2104173076640386e-10,23.896034220503537,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,83,7,-1.4415016989242526,0.6667390380101567,-2.1620178461821125,0.030616800637784103,0.015308400318892051,0.3543709863564652,-83.27419854126887,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,83,7,0.32739557847143125,0.20123657703054015,1.6269188400165686,0.10375433607028528,0.05187716803514264,0.011553837697081676,19.560699438052964,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,83,7,2.559965801377834,1.9064538111179241,1.3427893119931908,0.1793402051877485,0.08967010259387426,0.0210273408058064,-149.0014295547285,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,131,8,-1.7412643279133027,0.5678651124625412,-3.0663343982558247,0.002167008102102985,0.0010835040510514926,8.92050405225672e-11,-119.11167811881245,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,131,8,-0.2891921611726731,0.5751724103900779,-0.5027921297138452,0.6151104275938526,0.3075552137969263,3.143374322256572e-11,-75.54561309131361,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,131,8,-0.15455226112755438,0.18272417747273823,-0.8458227217939619,0.3976516478991753,0.19882582394958764,5.331596591792841e-10,24.449282676809617,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,83,7,-0.4458672716972067,0.38733995586186426,-1.1511006415672098,0.2496908341043198,0.1248454170521599,0.40228051422692335,-85.70728955568953,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,83,7,0.05512344785244007,0.12021225201420768,0.45855099566660745,0.6465566340116469,0.32327831700582343,0.01219249049537491,17.828386221669746,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,NA_score_log,83,7,-0.6008642258141254,1.149662659110214,-0.522643943467005,0.6012220544333247,0.30061102721666233,2.0224249274122208e-10,-150.28350699246883,True,powell,sensitivity
