fc_var,condition,seed_target,persistence_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,8,0.03420145908198654,0.04155363228931364,0.8230678570735231,0.41046940625501627,1.907029749573596e-12,60.356212798684766,True,False,powell,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,8,0.006207936835337754,0.03572694520006909,0.1737606392198835,0.8620535791001314,2.0971170856960252e-11,78.97108645459394,True,False,powell,secondary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,8,0.02182917426491548,0.029048269333119443,0.7514793399421873,0.4523642299001507,9.995938432665363e-13,100.59395154931221,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,8,0.009740322542156458,0.04057495011530153,0.2400575358559273,0.8102856532049434,4.615484418168589e-12,58.20963797983973,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,8,-0.007488944824244602,0.026235540476515974,-0.28545037335701645,0.7752991196924763,2.0099123277855695e-12,63.378539554887595,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,8,-0.0003006521656354713,0.029784386775613104,-0.010094287584313794,0.9919460605599499,1.0530236206246657e-12,97.96989023587611,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,8,0.012390120267188724,0.10465189472959116,0.11839365449811888,0.9057557533954632,1.8043605278996062e-11,-47.49834795983509,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,8,-0.04693093597068134,0.08640269813076637,-0.543165167130008,0.5870160872226071,1.9541585759216352e-10,-31.112897061689296,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,8,-0.038781506751583796,0.08149913718966721,-0.4758517462746915,0.6341800014252408,1.4693211556514235e-11,-21.673780501886085,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,8,-0.02020399183270688,0.03754765073957819,-0.538089372697032,0.5905153489679071,5.3679029270632936e-08,60.05402571612504,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,8,0.059514896833070395,0.033737984191694194,1.7640323883879852,0.07772652637821609,1.4321749848720823e-12,80.69913448519003,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,8,0.015316630218727433,0.026407229321949516,0.5800165565266762,0.5619034527932678,2.673147327125494e-12,100.38698491731452,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,8,0.06238842444942846,0.038348859924404996,1.6268651681539252,0.10376573715774606,5.009076394651192e-12,59.520937999705836,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,8,-0.02239062530044743,0.0274022734662789,-0.8171083077468453,0.41386653569686205,6.393025230071362e-12,63.47166596777703,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,8,0.019703830764291684,0.034851131285085026,0.5653713391141533,0.5718212147675319,1.4649335307077449e-12,98.15416785520898,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,8,-0.022923768076496175,0.09230744966574758,-0.24834147362433814,0.8038702125263435,1.8931468060074005e-11,-47.55625534606605,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,8,0.0761674807136707,0.08695972950577613,0.8758937170867284,0.3810878154552364,2.1265859720042114e-11,-30.869453200992837,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,8,0.004029548205343044,0.07197758989227022,0.05598337220479485,0.9553550534435917,0.00013219789080372676,-21.896510951239122,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,8,0.03973100681429791,0.04128461880866975,0.9623682611296006,0.33586465092893425,7.575268168092262e-11,60.486133072897815,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,8,-0.01807535885294551,0.08764803676996975,-0.20622662547917497,0.8366138907105345,1.3493038891952462e-12,79.07673093104694,True,True,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,8,0.007375475173775627,0.028222719425567703,0.26133113051798934,0.793837161755971,1.0085948661532838e-12,100.31303286746453,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,8,0.025343990532621378,0.04058627945042714,0.6244472485726861,0.5323339036388863,4.064141313231911e-12,58.361731351359936,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,8,-0.02151144670764603,0.019771592581484625,-1.0879976723671068,0.2765961350967965,1.7595082356165803e-12,63.4963813277341,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,8,0.0032492405428780104,0.21272692328262224,0.01527423277100272,0.9878133993558467,9.860523628472775e-13,97.95105851949859,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,8,0.008605563761864289,0.1001190335867172,0.08595332429383327,0.9315035216611025,1.22598195045266e-11,-47.522306654175964,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,8,0.034868834770033726,0.08470049319798276,0.4116721574280534,0.6805797351377112,2.2831146719078232e-10,-31.19841697610292,True,False,powell,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,8,0.014402573016858057,0.0817593895763284,0.17615803018455997,0.8601697921635161,1.0421738685688851e-11,-21.799197458547894,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,8,0.046867614544919216,0.035567755504623266,1.3176995253137955,0.1876042535358624,2.4585127605492288e-12,60.74214924443291,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,8,-0.051944464972332266,0.030467298100754672,-1.7049252218084152,0.08820837172520823,1.8677534131127474e-11,80.29940796503863,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,8,0.002920870053319839,0.02574489252849801,0.11345435022059679,0.9096703525773517,8.822233004506625e-12,100.20158221442699,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,8,-0.05187957089806387,0.03831825619540909,-1.353912626751516,0.1757642546320386,2.3736796097905704e-05,59.08958323351678,False,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,8,0.015393278731605765,0.03601251627233395,0.42744246514735795,0.6690570829442253,1.1630984034777995e-11,63.34929503952034,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,8,-0.01909431701175258,0.03851938313080992,-0.4957067185346459,0.6201013462379299,9.817325792068356e-13,98.12706276562835,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,8,0.03188525453882632,0.08732761552977078,0.365122239344281,0.715020160643745,1.900097851189973e-11,-47.54579356326235,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,8,-0.11060214582591188,0.07826306520293778,-1.4132099929784014,0.1575939891718796,6.166273686164289e-10,-30.306459677870805,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,8,-0.03520087226651823,0.07239070743596057,-0.48626230511227136,0.6267812015389018,9.369046315718832e-12,-21.777766460209477,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,8,-0.006227980474193252,0.03621050937507332,-0.1719937272818505,0.8634424604182724,2.4695398851257658e-12,59.90377452759742,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,8,0.020695186720954453,0.04038947523691416,0.512390581941505,0.6083776810527288,1.654190359158302e-12,79.07975787671103,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,8,0.011546377208976985,0.025957173147540997,0.4448241394911221,0.6564468480513104,9.649215467068528e-13,100.30350223258583,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,8,-0.01388227060609591,0.03826439575771987,-0.36279863646599336,0.7167553105272697,3.158722323941825e-12,58.15346433284407,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,8,0.012421738112367664,0.06503941472652498,0.1909878519755762,0.8485351106918433,1.7374932491965826e-12,63.32347671116216,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,8,-0.0031619040589954835,0.060514803410149615,-0.05225009222231341,0.9583294195924896,5.279792108953648e-05,97.83606874595486,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,128,8,0.0028591580424613934,0.08844314686545672,0.03232763807930602,0.9742107687194197,2.1367152536691086e-11,-47.59782159869377,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,128,8,-0.0692548751188878,0.07691911460318097,-0.9003597542193209,0.3679288311054223,1.1938102722371726e-10,-30.95473331320528,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,8,-0.04473471213763986,0.07123805967975419,-0.6279608447891716,0.5300295904720418,0.00018919153415254447,-21.718148466072705,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,8,0.03688961180296631,0.0431082348552979,0.8557439646228675,0.3921394162190217,1.8496000169552163e-12,60.431193661699524,True,False,powell,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,8,0.031943212135139405,0.038502925814901744,0.8296307737417831,0.4067475720938365,5.839345433816043e-11,79.40659288312693,True,False,powell,secondary
