fc_var,condition,seed_target,affect_var,n,r,p
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,82,-0.08178286088675944,0.4651268327522279
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,82,0.2509698683498638,0.02294975950064227
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,82,0.2695182913645858,0.014340518973956884
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,130,0.004187085663935525,0.9622906713788334
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,130,0.10392508193238356,0.23932597005606185
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,130,0.10805102634486262,0.22108100665578992
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,82,0.09120055133693922,0.415142264559446
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,82,-0.16409067964112284,0.14072460997460542
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,82,-0.22258822169556747,0.04443433865751641
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,130,0.1053628185685556,0.23285279038421536
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,130,-0.2608713880190252,0.002719797190423043
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,130,-0.2529086740983566,0.0036948569128958763
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,82,0.14350451445063994,0.19837055678771776
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,82,-0.23089468588014334,0.03688520355954499
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,82,-0.2855583651041874,0.009307913772108737
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,130,0.0441621069410742,0.6178457030834219
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,130,-0.24174716885181569,0.005589396354108389
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,130,-0.2608009807683626,0.002727287058279903
