persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_L,PA_score,83,7,-1.1369300585444142,0.5847928476951689,-1.9441586247598126,0.051876325497148844,0.32495981611105146,-83.87311245938801,True,lbfgs
neg_persist_crossrun_mean_z_L,NA_score,83,7,0.3601612327560144,0.14501884406639004,2.4835478111460576,0.013008087102831979,0.01000972936922448,20.9306271365962,True,powell
neg_persist_crossrun_mean_z_L,NA_score_log,83,7,1.9172361302086531,1.3723479902060138,1.397048083934485,0.16239911209615032,2.1718527009448853e-10,-149.25504211624732,True,powell
neg_persist_crossrun_mean_z_L,C5SPGP,83,7,-1.4419816794798952,0.6058585126004825,-2.380063413305166,0.017309658993799524,0.21555616115991347,-82.19244959256073,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SPGN,83,7,0.003931547064537625,0.2798183062673667,0.014050356879728332,0.9887898060118979,0.08392416051631216,-34.924730602040825,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SPGN_log,83,7,-0.0035389993804783,0.13975272073452147,-0.025323295044832016,0.97979709312871,0.017885863634060462,19.905027516965944,True,lbfgs
neg_persist_crossrun_mean_z_R,PA_score,83,7,-0.7743746410682205,0.576997467170654,-1.342076326375259,0.17957124891229048,0.40034497016188764,-85.06154292026733,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score,83,7,0.02963082761824283,0.16441787436810812,0.1802165837024729,0.8569825396699333,0.012630249915326824,18.0543559976079,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score_log,83,7,0.9245564664626645,1.5051950152824145,0.61424364090735,0.5390543389696394,2.079881785631696e-09,-149.95319980819576,True,powell
neg_persist_crossrun_mean_z_R,C5SPGP,83,7,-0.9868079043837051,0.6660696747308475,-1.48153855643175,0.13846311845952855,0.34278750692900584,-83.99003745665473,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SPGN,83,7,-0.3043544954620666,0.31328995496133594,-0.9714786275213577,0.3313099909599798,0.08564714627495232,-34.33246329872944,True,lbfgs
neg_persist_crossrun_mean_z_R,C5SPGN_log,83,7,-0.1893075396273834,0.15504252634684207,-1.2210039663820225,0.22208451802776485,0.018614304689671523,20.751315957356837,True,lbfgs
