fc_var,condition,seed_target,affect_var,n,r,p,tier
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,93,0.14313194852903222,0.17109155841094598,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,148,-0.0446293789107177,0.5901596083263474,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,148,0.030919687356213088,0.7091082080239931,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,148,-0.004333142661874553,0.9583149662617786,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,93,-0.056799468023466124,0.5886572356811696,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,93,0.028325020649137774,0.7875323903127157,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,93,0.17111864397323115,0.10100300876796728,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,148,0.029265918939974322,0.7240193815758227,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,148,0.050395225783362564,0.5430065858916302,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,148,0.04796492675795966,0.5626537844516949,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,93,0.12606218017565382,0.22856334448438942,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,93,-0.23042390508574262,0.026278802895924845,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,93,-0.21875676809900896,0.035146232471521,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,148,0.15995570191413522,0.05214093597212411,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,148,-0.2195825202811474,0.007329402946056114,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,148,-0.20805447570528687,0.011165972789821534,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,93,0.1514931456519476,0.1471787832679747,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,93,-0.1360319291490668,0.19354786757945763,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,93,-0.25263917968176275,0.014558247535424979,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,148,0.08719218364079913,0.2919959737999474,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,148,-0.21855270581883923,0.007616691357631704,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,148,-0.23313209925475822,0.004350975136834576,sensitivity
