fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score,82,7,-0.08332023731873135,0.04968276644327038,-1.6770450456672834,0.09353367364607279,0.01508305894736605,17.32436885468458,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score_log,82,7,-0.4628562548337471,0.4720188312766827,-0.9805885362281981,0.3267956897815587,3.466637127421598e-08,-149.50624317405948,True,False,lbfgs,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGP,130,8,0.1402708981468383,0.16320694021361964,0.8594665028536125,0.3900831930604496,0.027317311889221107,-123.65022988735268,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN,130,8,-0.26184265543899415,0.10854818313235685,-2.412225132499174,0.015855487681280866,1.670523099439182e-11,-74.0809701329772,True,False,powell,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN_log,130,8,-0.1206508458803993,0.04801220388761331,-2.512920385050811,0.011973635313407893,3.2486591685750405e-12,25.306292980192666,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,PA_score,82,7,-0.22769800403380577,0.2387533304616973,-0.9536956137679298,0.34023774106767934,0.4133581979126656,-85.92502644011455,True,False,lbfgs,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score,82,7,0.024040938554053006,0.06465739871906499,0.37182037988429395,0.7100265888935433,0.012481103560297793,16.283600320332354,True,False,powell,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score_log,82,7,0.04626642120079234,0.598942778057088,0.07724681371211471,0.9384272009176353,2.0571901715398395e-10,-149.7518727715672,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGP,130,8,0.08328765976712223,0.19269995122274125,0.43221422340086785,0.6655857227126603,0.03546680573606083,-123.75698666541365,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN,130,8,-0.28423753150748376,0.13896153875062953,-2.04544029997794,0.040811469267712175,0.011918440255500172,-74.49022590161911,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN_log,130,8,-0.13436557409673971,0.058922099657586206,-2.280393517501547,0.022584359748495597,0.0003909350138178818,25.078695102806847,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,PA_score,82,7,-0.020564923947028274,0.2304754779297881,-0.08922825166368961,0.9289005133405501,0.38601364280692285,-86.25972060937022,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,82,7,0.104612379016421,0.06716861927578396,1.557459125174194,0.11936151792138072,0.011892188758804923,17.47026336095655,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,82,7,1.0970169560188425,0.6070035252031832,1.8072662026989652,0.07072078300840356,2.0532951683689493e-10,-148.10061448249843,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,130,8,-0.12479680768083458,0.20623002441769905,-0.6051340392030923,0.5450899386923012,0.03601007119043572,-123.59852320717897,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,130,8,0.14819885997106153,0.14460563684702157,1.0248484305479821,0.30543471057300087,2.3261083443814843e-10,-76.13613459513067,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,130,8,0.04250665747280128,0.06292224919592908,0.6755425627021509,0.4993311193418184,4.857433244003676e-10,22.693930704857536,True,False,powell,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,82,7,-0.10749058715838958,0.22293023866402545,-0.48217140843054,0.629684185949603,0.3810505254145164,-86.20340140314744,True,False,lbfgs,sensitivity
