persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,PA_score,C5SER,83,9,0.21227203604127853,0.5280025355923028,0.40202844064594495,0.6876630955063455,-0.8887430941623636,0.2899531460970719,0.14497657304853595,-0.0072019338163279685,0.5620434778163732,0.33579695009331156,-87.47307156354748,True,lbfgs,primary
neg_persist_crossrun_mean_z_L,NA_score,C5SER,83,9,0.015210712540008057,0.13160181780904393,0.11558132549566308,0.9079843637959903,0.37747268701343323,0.07693469987245088,0.03846734993622544,0.0003837977940409145,0.9007107906435525,0.010535958381542353,14.428987536557614,True,powell,primary
neg_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,9,-0.34190047640836985,1.2163971020637707,-0.2810763654634598,0.7786518283473803,1.5164869993176706,0.44768216636565394,0.22384108318282697,0.021227563389144746,0.45397526560531043,0.00354259337172747,-150.91137818431577,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGP,C5SER,131,10,0.13199464305738146,0.3838370394677947,0.3438819850225952,0.7309350404458312,-0.8562260943740242,0.07550996490906257,0.03775498245453129,-0.0010588738645003974,0.8806677686583522,6.377433219945026e-10,-125.79373506633306,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN,C5SER,131,10,-0.4512963603048899,0.2575474901650709,-1.7522840545471392,0.0797249764921417,-0.39984212540020814,0.28812070647472654,0.14406035323736327,-0.00013804908753113003,0.9770497325292347,3.6207109168411757e-10,-79.17560091568487,True,powell,sensitivity
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,131,10,-0.20781837425414354,0.11414147595022754,-1.8207086646116675,0.06865115437994627,-0.1746138500853906,0.24177012412394028,0.12088506206197014,-0.0003312691948552867,0.8761913692883052,5.09281510193201e-10,19.28767604996267,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,PA_score,C5SER,83,9,0.1673880876647188,0.517490559014618,0.3234611429113829,0.7463460306057181,-0.5742138496522805,0.4759513653486156,0.2379756826743078,-0.013856407753600978,0.6936280440246658,0.4047709573406446,-88.69463797888633,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score,C5SER,83,9,-0.21174264261453296,0.16468736024915176,-1.285724917165424,0.19853908199444037,-0.22135620486699664,0.37819704150335776,0.18909852075167888,0.014914747513086924,0.18340726635801552,0.015578469908706932,12.600143470983483,True,lbfgs,secondary
neg_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,9,-2.8611892508718593,1.4832561676869234,-1.9289919794055301,0.05373185794544565,-2.6313909320463478,0.25886860538284484,0.12943430269142242,0.20645260615714567,0.04090326610434528,0.04373266416477416,-149.641484613974,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGP,C5SER,131,10,-0.9316533746832533,0.4494989577160951,-2.0726485761323796,0.03820499678399634,-1.4085730872772981,0.014962919000018721,0.0074814595000093605,0.05957514460932571,0.0418768431652029,0.06343298328316352,-124.94363082811458,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN,C5SER,131,10,0.3265436038567502,0.30925442033505335,1.0559060190731158,0.2910111539321598,0.2846892061504259,0.47864447598545556,0.23932223799272778,-0.023978234001834704,0.23363945516369178,1.82022473844338e-11,-79.92959549873001,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,131,10,0.1436822732601311,0.13688978005162328,1.0496201630680266,0.2938927830311099,0.07822136108144229,0.6607221202598443,0.33036106012992217,-0.010848701810680894,0.223389522709882,3.403927464120887e-12,18.458284146777146,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,9,0.5839441377151264,0.7352224839959757,0.7942414036923314,0.42705490915964595,-0.8450039940507242,0.39584993812590985,0.19792496906295493,-0.018077338438764662,0.37300536167882503,0.36258287932173805,-86.30152999972643,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,9,-0.0682238345795236,0.1973663762092925,-0.345671009874434,0.7295899734684114,0.2503823042139053,0.4008004476307674,0.2004002238153837,0.0024343476873938392,0.6546262997765067,0.01260565227259537,13.520133812215377,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,9,-1.989291146958602,1.756658635238613,-1.1324289802545442,0.25745412673749346,0.33617754159433516,0.9019532781236388,0.4509766390618194,0.06616359733522822,0.17128194155148957,0.06528227839825551,-149.70431940697705,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,131,10,-0.0948782140716929,0.5323401255269578,-0.17822856012924815,0.858543481051138,-1.7991620741487293,0.006948194591548732,0.003474097295774366,0.0018422177496414454,0.8712954327775468,3.8322778151865906e-11,-122.94721668828453,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,131,10,-0.15078625673592697,0.3720874180998835,-0.40524416951784636,0.6852980407013041,-0.37602587573112056,0.5619222175622918,0.2809611087811459,-0.0005274406161974136,0.9475126715879554,3.580532903407543e-11,-79.7736118785939,True,powell,sensitivity
