persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,beta_moderator,p_moderator,r_squared,adj_r_squared
neg_persist_crossrun_mean_z_L,PA_score,C5SER,83,-2.1706022585227,0.8209612619612577,-2.643976468922761,0.010806275210879934,-2.974398636557045,0.005391916057461203,0.03646907197341834,0.03663245481215246,0.4487487647994364,0.1307192060298804
neg_persist_crossrun_mean_z_L,NA_score,C5SER,83,0.32116202892436574,0.21073869831958897,1.5239822181938214,0.1335722928653119,0.7381961527700356,0.007004279835537146,-0.005296261535737803,0.23037956704205828,0.41490657816394316,0.07735268095083347
neg_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,2.058561111275388,1.9784473857118072,1.0404932302684196,0.3029245897197972,3.0838927033647847,0.2170712636720812,-0.02398614054727266,0.560776708285384,0.38907462209034793,0.03661767329631793
neg_persist_crossrun_mean_z_L,C5SPGP,C5SER,83,-1.6417590877917572,0.7436096351701544,-2.2078238502330407,0.03169141187292596,-2.824104943444341,0.003653250957205768,0.028830010277521172,0.06680589953268244,0.511564221502826,0.22977434929291796
neg_persist_crossrun_mean_z_L,C5SPGN,C5SER,83,-0.5411780707921182,0.4579737742330385,-1.1816791730015996,0.24270899831882636,-0.4186851574297188,0.4669416868487215,0.007919746847635358,0.40749593061066247,0.31706271770850913,-0.07693956053658169
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,83,-0.23125382862678673,0.21620980639942528,-1.0695806655483941,0.28974796333666736,-0.18628658142279342,0.49284175841222166,0.0029541948773012063,0.5122880664790438,0.3573732136887715,-0.013373009183091034
neg_persist_crossrun_mean_z_R,PA_score,C5SER,83,0.7516718048833804,0.8106604850799219,0.927233803445192,0.35808904174224365,0.22796237348927106,0.8563857148623146,-0.055086403714806775,0.32040222903871474,0.3672041601146989,0.002129637103948312
neg_persist_crossrun_mean_z_R,NA_score,C5SER,83,-0.21505919419331465,0.20622565186579575,-1.0428343527955846,0.301849120546146,-0.13424715155268446,0.6754647659197617,0.015225171595469184,0.28075816208626225,0.34036550259056175,-0.04019286129949884
neg_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,-4.65136373332144,1.7270119647353788,-2.693301394720878,0.009500257884156177,-3.9447840394446345,0.145613003648107,0.32697760241393137,0.007249127261542095,0.45196132270678346,0.1357851627299278
neg_persist_crossrun_mean_z_R,C5SPGP,C5SER,83,-0.47988505252122127,0.7353377372156048,-0.652604957197398,0.5168857905210025,-1.2488982782346194,0.2770510466703564,0.030091084765782726,0.5483751149807234,0.4376942533104222,0.11328709175874274
neg_persist_crossrun_mean_z_R,C5SPGN,C5SER,83,-0.4677412761452602,0.4189819522286661,-1.1163757141739197,0.26939349658031697,-0.9599787598460658,0.14439907617482847,0.029242491652527507,0.3075886688179735,0.3270673548713787,-0.0611630173182105
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,83,-0.23894262232244906,0.1951625012192415,-1.2243265014011369,0.22634709448941415,-0.5541420287607204,0.07200955796125069,0.014740283830248817,0.26995126835348937,0.38357227992396303,0.027940902957018676
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,-1.058366700995215,1.02541551975057,-1.0321344670623476,0.306785826182981,-2.6086828555967885,0.0681859904023904,0.022524058740115736,0.4139088246881588,0.39203318460793357,0.0412830988048184
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,0.19074303107855708,0.25985152402446315,0.7340462281090951,0.46621761749327784,0.6570757198968082,0.06981577327820383,-0.0041273816073326645,0.5540419321733057,0.3711268942749305,0.00831548712585195
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,-1.560079669816758,2.3503499600324376,-0.6637648419792035,0.5097731794618896,1.238615784171798,0.7012071252266581,0.055232544644062034,0.38229078685344464,0.39049106471372497,0.03885129435625867
neg_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,83,-1.3968738055535435,0.8916909882739825,-1.5665447155156598,0.12328703213588103,-3.4574510671569776,0.006447450658106598,0.03373175763900151,0.1620266814878124,0.5034967863612427,0.21705262464657515
neg_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,83,-0.5988901097341341,0.5431595395031554,-1.1026044213123039,0.2752759811660314,-0.9380534624564685,0.2117332842153343,0.013088535560295364,0.3704016915789513,0.32090538985601913,-0.07087996215012371
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,83,-0.26933113697614713,0.25517436459150433,-1.0554788189922826,0.29608571978827625,-0.4870596732896217,0.1682272071405998,0.005515908961152583,0.42133100396773004,0.367212358236359,0.002142564911181588
pos_persist_crossrun_mean_z_L,PA_score,C5SER,83,-1.1104580143206924,0.5461516835454934,-2.033241035003041,0.047146901012271376,-0.9549781415252254,0.27934607031280867,0.026769923235334146,0.12415436784706926,0.4026715091308706,0.058058918244834445
pos_persist_crossrun_mean_z_L,NA_score,C5SER,83,0.09669697102704483,0.14396788611801375,0.6716565314279889,0.5047755040423569,0.18025121356688012,0.4373162110727815,-0.0019597410293358286,0.6660649782823174,0.3314247190828189,-0.05429178913863164
