persistence_var,n,n_groups,beta_age,se_age,z_age,p_age,p_age_one_tailed,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_L,131,7,-0.0016405625239549661,0.0012721919079850303,-1.2895558552588047,0.19720491132978912,0.09860245566489456,4.514479752771325e-12,63.35865943708319,True,powell,primary
neg_persist_crossrun_mean_z_R,131,7,-6.748866004568232e-05,0.0011327826153516032,-0.05957776817111074,0.9524919253382798,0.4762459626691399,2.559067137771431e-10,81.03126569653608,True,lbfgs,secondary
neg_persist_crossrun_mean_z_bilateral,131,7,-0.000992858415199809,0.0009335361239628528,-1.063545790799325,0.28753451092988,0.14376725546494,9.848967006901947e-13,103.63397227117551,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,131,7,-0.001403187487277948,0.0014042016836228284,-0.9992777416829014,0.31766016482520054,0.15883008241260027,1.904879561897438e-12,60.86190593356184,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,131,7,0.00102353700422768,0.0013022066383947194,0.7860019862050724,0.4318663235181237,0.7840668382409381,1.3544813929977602e-11,66.31052481637502,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,131,7,-0.00011873447140359883,0.0012420613151174903,-0.09559469404484865,0.9238424794405525,0.46192123972027627,1.0239719720252936e-12,100.79668434200943,True,powell,sensitivity
neg_persist_concat_z_L,132,7,-0.0015519754111724864,0.003083768064861242,-0.503272418200595,0.614772755650191,0.3073863778250955,2.5135839788507627e-11,-48.99818317348115,True,powell,sensitivity
neg_persist_concat_z_R,132,7,-0.0030216566449984884,0.0026455967185064133,-1.1421455975740633,0.2533935047597582,0.1266967523798791,1.7513407305214992e-10,-28.999578817796305,True,lbfgs,sensitivity
neg_persist_concat_z_bilateral,132,7,-0.0027479843070883723,0.0024551354723310994,-1.1192801122616745,0.2630206574956284,0.1315103287478142,1.2545084713972304e-11,-20.539358965166457,True,powell,sensitivity
