fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,PA_score,C5SER,93,-0.41274634421813877,0.31487911269040697,-1.310808902792978,0.19483591946087767,-0.19657631833446165,0.5768489921158533,0.05481173960543542,0.23716745392283317,0.35093216321929044,0.021078016658601983,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score,C5SER,93,-0.05231862196562992,0.10002053022531658,-0.523078830393836,0.6028143535630487,-0.04792225639368645,0.6683101054748805,0.008616167971277079,0.5568404174907109,0.5308434745156032,0.29241966648254913,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,NA_score_log,C5SER,93,0.2828728345498877,0.687113761916685,0.41168267938750297,0.6820150130201514,-0.1120793073051981,0.8839464475876523,-0.023339642762295425,0.8165740037677662,0.4070387133275861,0.10569773157603157,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGP,C5SER,148,-0.7441165784386244,0.1709339131829694,-4.353241346801172,3.245044007563781e-05,-0.22523896461106296,0.232599821433768,0.10008792409310593,6.421760468863072e-05,0.45396792026324684,0.19733284278697283,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN,C5SER,148,-0.20414614689727867,0.13482555121926035,-1.5141502856924023,0.13314209673382843,-0.3531317585781181,0.018858748264367696,0.025371193112323814,0.18293131383305516,0.24680331264590183,-0.1071991304105242,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,-0.08882561153412842,0.05923441605064543,-1.4995608542537588,0.13687871790601924,-0.16318886384165449,0.013644078022295236,0.010780515549978775,0.19760270305079608,0.29484360878736393,-0.03657989508257509,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,PA_score,C5SER,93,0.013495280367932627,0.12688281083175196,0.10636019394169571,0.9156455881937943,-0.2864299622869698,0.2697444284179049,0.0018212837791026712,0.9811754003836253,0.3455760168284997,0.01299989423314718,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score,C5SER,93,0.04251642225091816,0.03984652912345565,1.067004408820413,0.2901746475287558,0.039364478178520096,0.6277132862642703,0.026817661418297188,0.27098483211550445,0.5376491149237276,0.30268391103250725,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,NA_score_log,C5SER,93,0.5722369352343848,0.2669160216516445,2.143883801704562,0.03603683236066873,0.4155843931729708,0.44533970105194765,0.3629112597095568,0.028460118490027574,0.4443906135728001,0.16203174506061657,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,C5SPGP,C5SER,148,0.14688847396184884,0.08185787062444452,1.7944331173206058,0.07576565399287415,-0.08421484686859426,0.6409958450313258,0.09445000044402083,0.08316700712749386,0.3704223057196757,0.07452078940792328,sensitivity
