fc_var,condition,seed_target,persistence_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.0034391709460395836,0.038292416450287095,-0.08981336945670344,0.9286116470101341,0.35206846193853647,0.06621631279377316,primary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.029915244463087066,0.03501417494309083,0.8543752497869463,0.39489930301358867,0.32301223319209127,0.02434115960036687,secondary
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.018115674586059186,0.02867227760772369,0.6318184705765828,0.52891905040065,0.3418199819349278,0.05144644455327829,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.014954654977172148,0.03990203871781651,0.374784233029547,0.7085990475861519,0.35461071573270797,0.06988014914419682,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.021283256379395106,0.03686980717503734,-0.5772543446824672,0.5650396189634048,0.3543849202072591,0.06955473794575573,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.00208514353392094,0.030166079910727246,-0.06912212458800289,0.9450277386188783,0.2819738252425077,-0.03480242832697411,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.059035662875570334,0.09501198656519426,-0.621349631870521,0.5357694857655148,0.3067425972028497,0.0047294712318139975,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.07223679458955318,0.09361959073529376,0.7715991281547073,0.44215343684237496,0.226208789425566,-0.11088837161676168,sensitivity
l_amyg-ant_vmPFC_neg,neg,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,-0.00406332807692261,0.08397853621154777,-0.048385316775310355,0.9615047118796831,0.25292934602513173,-0.07252717649857332,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.01748051645922285,0.03715462699028804,-0.47048020328106466,0.6390164715449931,0.35342037318560027,0.06816465547336514,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.07714623444512539,0.03326500884360854,2.319140656412243,0.022381408665040327,0.3523193160760365,0.06657783787428795,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.02664512342963538,0.027778844207629307,0.9591876188397155,0.33973239027380053,0.3451508262456794,0.05624677900112618,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.09481310030752102,0.0376301928371083,2.519601765474422,0.01330043919960828,0.3915889419908868,0.1231722987515721,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.036342569631686604,0.035689163983295635,-1.0183082363234062,0.3109407831613963,0.3587943879029222,0.07590955903656427,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.03293773163640712,0.029118954827302725,1.1311440205100975,0.26064701357070574,0.290835937199152,-0.02203056109533974,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.03593723937791056,0.09240009649311541,-0.38893075593907184,0.6981461092671125,0.30513329907182096,0.0024190927268716855,sensitivity
l_amyg-ant_vmPFC_neu,neu,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.19084829876972786,0.08920929202887708,2.1393320631661354,0.03481849996925391,0.2553890242320439,-0.06899595531043201,sensitivity
