sample,analysis_type,category,n_tests,n_sig_p05,n_sig_p01,n_sig_p001,pct_sig_p05,mean_effect_all,median_effect_all,mean_effect_sig,median_effect_sig,min_effect_sig,max_effect_sig,n_positive_sig,n_negative_sig
full,correlation,primary,9,1,0,0,11.11111111111111,-0.03612248902995912,-0.0254643263198882,-0.2231128774158887,-0.2231128774158887,-0.2231128774158887,-0.2231128774158887,0,1
full,correlation,sensitivity_panas,9,2,2,0,22.22222222222222,-0.12126813299550546,-0.1028551924087586,-0.2663094609378154,-0.2663094609378154,-0.2666926574095727,-0.2659262644660581,0,2
full,correlation,sensitivity_positive,18,5,1,0,27.77777777777778,-0.05523683254087656,-0.08193665718640375,-0.11524292927410693,-0.2101317515687193,-0.2411736342283296,0.3061292012746548,1,4
full,correlation,sensitivity_concat,18,0,0,0,0.0,0.030935848004540373,0.03290871164884985,,,,,0,0
full,regression,primary,9,0,0,0,0.0,0.08453562691656545,0.1850864312720065,,,,,0,0
full,regression,sensitivity_panas,9,1,0,0,11.11111111111111,-0.5429928282177974,-0.4492055645000911,-1.699535881554497,-1.699535881554497,-1.699535881554497,-1.699535881554497,0,1
full,regression,sensitivity_positive,18,1,0,0,5.555555555555555,-0.029147579812697347,-0.11971933473213989,-0.3204943759096924,-0.3204943759096924,-0.3204943759096924,-0.3204943759096924,0,1
full,regression,sensitivity_concat,18,0,0,0,0.0,0.06599258525182602,0.0382165163438054,,,,,0,0
