persistence_var,n,r,p,p_one_tailed,tier
neg_persist_crossrun_mean_z_L,152,-0.10627948254741335,0.19251361433295336,0.09625680716647668,primary
neg_persist_crossrun_mean_z_R,152,-0.021352586118624346,0.7940084557012773,0.39700422785063866,secondary
neg_persist_crossrun_mean_z_bilateral,152,-0.08572812295018468,0.29365512168668906,0.14682756084334453,sensitivity
pos_persist_crossrun_mean_z_L,152,-0.06081242608649212,0.45672766637348267,0.22836383318674133,sensitivity
pos_persist_crossrun_mean_z_R,152,0.13128154678482362,0.10692451510515762,0.9465377424474212,sensitivity
pos_persist_crossrun_mean_z_bilateral,152,0.056828611015039235,0.4867991713490133,0.7566004143254934,sensitivity
neg_persist_concat_z_L,150,-0.06748507899877505,0.4119073111064845,0.20595365555324224,sensitivity
neg_persist_concat_z_R,150,-0.10078773032167643,0.21974975649783818,0.10987487824891909,sensitivity
neg_persist_concat_z_bilateral,150,-0.11600457068265863,0.15746408714994692,0.07873204357497346,sensitivity
