persistence_var,affect_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
neg_persist_crossrun_mean_z_L,PA_score,94,-0.8623953547954697,0.7366234220760978,-1.1707411534171648,0.24604361264510702,0.339741178232859,0.04056139961962324,1.1355753380379991,0.32915648080967785
neg_persist_crossrun_mean_z_L,NA_score,94,0.4417143277145352,0.22651305151383605,1.9500612647371187,0.055551935170193203,0.5531993896715743,0.3507428631165065,2.732435447177865,0.00041872665309195396
neg_persist_crossrun_mean_z_L,NA_score_log,94,0.781212723703526,1.6138772472410663,0.48405956837114733,0.6299959147877118,0.39208416930765444,0.1166223085251854,1.4233700745138052,0.12079920398064106
neg_persist_crossrun_mean_z_L,C5SPGP,94,-1.0330890386787313,0.6595414982671791,-1.5663745820285424,0.12219246397781222,0.4137192834432142,0.1480608337534206,1.557335307521028,0.07140123775933424
neg_persist_crossrun_mean_z_L,C5SPGN,94,-0.10137245252685534,0.38588872066961644,-0.26269866699121963,0.7936266542886825,0.3540869784970181,0.061407640628479365,1.2098120115881275,0.25950891708894086
neg_persist_crossrun_mean_z_L,C5SPGN_log,94,-0.05886235074562851,0.18522484038830933,-0.31778864337109547,0.7516798318385218,0.37052328309681837,0.0852916457500642,1.2990258953861271,0.19102551847880608
neg_persist_crossrun_mean_z_R,PA_score,94,-0.13298554412735086,0.743048909842793,-0.17897280026356088,0.8585244382273669,0.32593832349819574,0.020504126333315664,1.0671310760996653,0.40333197188239056
neg_persist_crossrun_mean_z_R,NA_score,94,-0.12861081296020008,0.23220290625324375,-0.5538725377534048,0.5815961660988476,0.5289095862997278,0.31544674259179206,2.4777594878450726,0.0013005235090858007
neg_persist_crossrun_mean_z_R,NA_score_log,94,0.2880901755977848,1.6137457625264093,0.17852265349825833,0.8588764467126302,0.3901621810350786,0.11382941931659862,1.411928786904264,0.1261685855327903
neg_persist_crossrun_mean_z_R,C5SPGP,94,-0.5180990755745201,0.6678174121087586,-0.775809474536648,0.4407189782260855,0.39691503422937213,0.12364215911455634,1.4524494392742346,0.10804152377759733
neg_persist_crossrun_mean_z_R,C5SPGN,94,-0.4492055645000911,0.38134465144990887,-1.1779516581448528,0.2431774840923325,0.367112003921814,0.08033463069888591,1.2801289020680071,0.2041835963795887
neg_persist_crossrun_mean_z_R,C5SPGN_log,94,-0.27817501965938163,0.18176747825412237,-1.5303893872064147,0.13084853674541472,0.39178763470131395,0.11619140667534678,1.4216001340352131,0.12161659575974186
neg_persist_crossrun_mean_z_bilateral,PA_score,94,-0.9296707099062296,0.9368115957013845,-0.9923774579350626,0.3247506760670654,0.3358211505435825,0.0348651093836434,1.1158478469123496,0.34959251665285734
neg_persist_crossrun_mean_z_bilateral,NA_score,94,0.18508643127200658,0.29472309409481273,0.6280011135213723,0.5322378053961803,0.5295505197987065,0.31637809908249537,2.484141794794732,0.001263996307795263
neg_persist_crossrun_mean_z_bilateral,NA_score_log,94,1.1183794057504866,2.0453768913567583,0.5467840232655766,0.586428564692807,0.39269548999031767,0.11751063389218042,1.427024348499299,0.119126740107228
neg_persist_crossrun_mean_z_bilateral,C5SPGP,94,-1.699535881554497,0.8252775239875589,-2.059350742211801,0.04353397565182938,0.42907540423420165,0.1703751967778243,1.6585816008924277,0.04718026051946265
neg_persist_crossrun_mean_z_bilateral,C5SPGN,94,-0.4731698048555282,0.48598704730808395,-0.9736263702426816,0.33390774547509317,0.3628280909216539,0.07410956962052839,1.2566845011762653,0.2214993860744634
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,94,-0.27542626586494307,0.23251639940914845,-1.184545548463823,0.24057755187272428,0.38305598989012835,0.10350323530909278,1.3702458073225303,0.14751149136146835
pos_persist_crossrun_mean_z_L,PA_score,94,0.2804133671183817,0.5838445978433823,0.48028767955407764,0.6326604506239947,0.3280229812361136,0.02353339460872761,1.0772880112892864,0.39175901375277455
pos_persist_crossrun_mean_z_L,NA_score,94,0.10160120308860318,0.18273094199956666,0.5560153194462497,0.5801391435778896,0.5289270079184238,0.31547205838145964,2.4779327397457647,0.0012995181084132174
pos_persist_crossrun_mean_z_L,NA_score_log,94,-0.1318106201222623,1.2701621247747834,-0.10377464226909937,0.9176727041011811,0.38996114788968617,0.11353729302720017,1.41073623361371,0.12674000110052644
pos_persist_crossrun_mean_z_L,C5SPGP,94,-0.12739650009742465,0.52777060376261,-0.24138612342025648,0.810027574632098,0.39179711752813007,0.11620518640806399,1.4216567079296576,0.121590394476191
pos_persist_crossrun_mean_z_L,C5SPGN,94,-0.14384702864656734,0.3028052549359598,-0.47504799306402234,0.6363699745833576,0.35566249708536657,0.06369706607717329,1.2181664653148125,0.2523980857647599
pos_persist_crossrun_mean_z_L,C5SPGN_log,94,-0.11204216936685524,0.14496253638771714,-0.7729043114090318,0.4424242264318765,0.3753604275254472,0.0923206212479154,1.326175397242151,0.1733322710781315
pos_persist_crossrun_mean_z_R,PA_score,94,1.0116300998025212,0.6089279648208059,1.6613296781339673,0.10153871940499185,0.353482207830617,0.06052883325386538,1.2066159276755737,0.26226811862677
pos_persist_crossrun_mean_z_R,NA_score,94,-0.21433704599313824,0.1929148711105835,-1.1110447046369745,0.2707057487046059,0.5356085792937445,0.32518121678622247,2.545337131593798,0.0009620201042407255
pos_persist_crossrun_mean_z_R,NA_score_log,94,0.2454916116945427,1.3503277845949666,0.18180149627016554,0.8563130990771899,0.39017343288977735,0.11384576966795767,1.41199555752248,0.12613665835220103
pos_persist_crossrun_mean_z_R,C5SPGP,94,-0.08509452506626802,0.5613328631771349,-0.15159369894118507,0.8799842509213267,0.39146190322979535,0.11571807813079638,1.419657912880735,0.12251909234161698
pos_persist_crossrun_mean_z_R,C5SPGN,94,-0.5663183529709205,0.3146756330621328,-1.7996892465426477,0.07662349502830859,0.38453752705598887,0.10565609400323384,1.378856680585284,0.14286583547501713
pos_persist_crossrun_mean_z_R,C5SPGN_log,94,-0.32049437590969243,0.14958450861782147,-2.1425639517828303,0.03595755625716656,0.4117256286753376,0.14516380416884989,1.5445783710312082,0.07515716970103498
pos_persist_crossrun_mean_z_bilateral,PA_score,94,0.7492761237874963,0.7386321109739252,1.014410438776533,0.31420666333407343,0.33627274905865134,0.035521338475852704,1.118108634659499,0.3472105743965713
pos_persist_crossrun_mean_z_bilateral,NA_score,94,-0.07172361327311833,0.23299710783710628,-0.3078304874207365,0.7592109180778333,0.52735129481009,0.313182350270912,2.462314487026953,0.0013933601888725974
pos_persist_crossrun_mean_z_bilateral,NA_score_log,94,0.06161929416113043,1.6169778500099892,0.03810769217447831,0.9697204392032679,0.3898723417814465,0.11340824665116445,1.410209675139629,0.1269930164857865
pos_persist_crossrun_mean_z_bilateral,C5SPGP,94,-0.3266095088261829,0.6708933151969767,-0.48682778830534207,0.628043518,0.39348939071992683,0.11866427088989373,1.4317810211937034,0.1169800661130078
pos_persist_crossrun_mean_z_bilateral,C5SPGN,94,-0.5444150923624467,0.3800927117511916,-1.4323218402535969,0.1569180512529088,0.37347403941020973,0.08957946351796098,1.3155377774880792,0.18009753288550318
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,94,-0.33059930364635126,0.18072560074495975,-1.8292887243622642,0.07201538955119746,0.4008567337359875,0.1293699412101068,1.4765238854032803,0.0983950859842961
neg_persist_concat_z_L,PA_score,95,-0.17115150027723247,0.30374069370385853,-0.5634789931839096,0.5750475919994505,0.3117859508861839,0.004736605896942914,1.0154262042054147,0.46466081005463594
neg_persist_concat_z_L,NA_score,95,0.11147999371664184,0.0923841508278502,1.2067004212050947,0.23192093343530246,0.5371370470229999,0.3306289603101845,2.601046068331359,0.0007201876660095901
neg_persist_concat_z_L,NA_score_log,95,0.2165873060923602,0.6522862265033604,0.3320433535035626,0.7409248786532874,0.3874175747142564,0.11411156958677082,1.4175230966240304,0.12274388790107729
neg_persist_concat_z_L,C5SPGP,95,-0.23099710820784303,0.2761930816792798,-0.8363609501127218,0.40601609443012177,0.38388209905471893,0.10899872786374742,1.3965271794779537,0.1329387405631011
neg_persist_concat_z_L,C5SPGN,95,0.05629703746736692,0.15776969721195444,0.35683048432130227,0.722374532929311,0.33544660615611177,0.038953553518069395,1.131380999222345,0.33284747344160864
neg_persist_concat_z_L,C5SPGN_log,95,0.014740188784565844,0.07632241569525944,0.19313053249546702,0.8474589515505595,0.3455757642299444,0.053601874424842655,1.1835844789430414,0.282106980797272
neg_persist_concat_z_R,PA_score,95,0.04353310903904739,0.261016502085149,0.16678297613859674,0.8680585706205131,0.3087200304089526,0.000302813206792929,1.0009818297744206,0.48263393385134595
neg_persist_concat_z_R,NA_score,95,0.03289992364856359,0.07999147020155518,0.4112928986761385,0.6822107347711824,0.527996404925097,0.3174101855839865,2.5072695002413283,0.0010975632057716135
neg_persist_concat_z_R,NA_score_log,95,0.3319904688365905,0.5582486483422024,0.5946999958217234,0.5541086067546983,0.3896991900696689,0.11741113640844425,1.4312019379099346,0.11647346911340845
neg_persist_concat_z_R,C5SPGP,95,0.21081193444401702,0.23664746547054505,0.8908269269854331,0.3763076277724645,0.3847630368358861,0.11027269942420448,1.4017361793643657,0.13034354810511606
neg_persist_concat_z_R,C5SPGN,95,0.014261947942878606,0.13539768735018184,0.10533376324214928,0.91643535636085,0.3342584567066532,0.03723530662192931,1.1253616312779262,0.3390634283100514
neg_persist_concat_z_R,C5SPGN_log,95,-0.011660020555213424,0.06544408851599011,-0.17816766677657225,0.8591454214712821,0.34551985653369954,0.053521023294888614,1.1832919080574427,0.28237532239028623
neg_persist_concat_z_bilateral,PA_score,95,-0.11913327711265437,0.3121091732426309,-0.38170386302629183,0.7039260373492144,0.3099709029748885,0.0021117673790694846,1.0068595248115098,0.47528681401173595
neg_persist_concat_z_bilateral,NA_score,95,0.09597573553063572,0.0951185169862178,1.0090121100662464,0.3167102812505052,0.534066019066882,0.32618778141979865,2.569129049350371,0.0008311528050599638
neg_persist_concat_z_bilateral,NA_score_log,95,0.4731876153677491,0.6673671220064415,0.7090364504998522,0.4808373342449662,0.3910880519426735,0.11941964434786634,1.4395786959740287,0.11277339038248403
neg_persist_concat_z_bilateral,C5SPGP,95,0.03212789632342644,0.2849222028046275,0.11276024124191084,0.9105681680854569,0.37737352008217073,0.09958632134960077,1.3584985982218496,0.15326093911670927
neg_persist_concat_z_bilateral,C5SPGN,95,0.07239785376351611,0.16181263630653603,0.4474178000929818,0.6560609226161149,0.3361891782117925,0.04002742695243844,1.1351539379485425,0.3289892563413501
neg_persist_concat_z_bilateral,C5SPGN_log,95,0.01451742972845282,0.07832376502388298,0.1853515305862285,0.8535304878337077,0.34554613736373085,0.05355902941831847,1.183429432193737,0.28224916468563593
