predictor,outcome,n,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGP,128,-0.07565302039217525,0.19640690995546536,-0.3851851261716267,0.6494450540236376,0.7011098919527249,0.41320689327581694,0.07996636353121911
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGN,128,0.056983703944715164,0.15424339735614176,0.3694401505767025,0.6436181281082192,0.7127637437835616,0.2091524449697093,-0.239970857886999
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGN_log,128,0.017656074048044326,0.0659596686948143,0.26767984735848793,0.6051868998267529,0.7896262003464942,0.27452138163476014,-0.13747882138747491
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGP,128,-0.0059876674566454735,0.22865258605040623,-0.02618674715240482,0.5104136024354068,0.9791727951291864,0.4121370420470549,0.0782889424688391
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGN,128,-0.08430286339134396,0.17930987504674833,-0.47015181606347756,0.31975498873212427,0.6395099774642485,0.20997577179970217,-0.23867996273380032
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,C5SPGN_log,128,-0.04564409846265451,0.07658506946539843,-0.5959921272027673,0.27642116401431804,0.5528423280286361,0.27704995302119817,-0.13351427118898562
