moderator_ci_low,moderator_ci_high,moderator_ci_level,moderator_ci_sidedness,moderator_ci_method,moderator_ci_status,predictor_ci_low,predictor_ci_high,predictor_ci_level,predictor_ci_sidedness,predictor_ci_method,predictor_ci_status,interaction_ci_low,interaction_ci_high,interaction_ci_level,interaction_ci_sidedness,interaction_ci_method,interaction_ci_status,predictor,moderator,outcome,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,r_squared,adj_r_squared
-0.125064539228638,0.1763356881718652,95.0,two-sided,student_t,ok,-2.657310243318847,-0.13207411525295898,95.0,two-sided,student_t,ok,-0.7128444391002545,1.5273757206411127,95.0,two-sided,student_t,ok,neg_persist_crossrun_mean_z_L,C5SER,PA_score,92,0.40726564077042904,0.5618914228497034,0.7248119907311094,0.4709163685546369,-1.394692179285903,0.030870282721495567,0.025635574471613604,0.7355155963434238,0.2181950031011186,0.011885351141691647
-0.04579612959843563,0.05930516623029287,95.0,two-sided,student_t,ok,-0.000655645945989547,0.8799196330519677,95.0,two-sided,student_t,ok,-0.2211974698819961,0.559989869494463,95.0,two-sided,student_t,ok,neg_persist_crossrun_mean_z_L,C5SER,NA_score,92,0.16939619980623347,0.19593720006746504,0.8645433319854883,0.3901607499381008,0.4396319935529891,0.05033311443967042,0.006754518315928618,0.7985063678207355,0.3167980824665688,0.13650868756191337
-0.0927254095781696,0.5562776853542557,95.0,two-sided,student_t,ok,-0.5428436602301905,4.8947304142318355,95.0,two-sided,student_t,ok,-2.480790431822843,2.3430606632534436,95.0,two-sided,student_t,ok,neg_persist_crossrun_mean_z_L,C5SER,NA_score_log,92,-0.0688648842846995,1.2099170448231475,-0.05691702962558513,0.9547689486791894,2.1759433770008227,0.11499409997247854,0.23177613788804302,0.15881309690743,0.30325168645322265,0.11938754815615649
