predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_L,C5SER,PA_score,93,,-0.18921318520597324,0.4984973497043503,0.7042667987840496,-0.9698864914165898,0.06628714272451952,0.0387919240366346,0.5419242078624469,0.3688401530871154,-97.35156489216635,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SER,NA_score,93,,0.10164933574573931,0.1757809303226954,0.5630799360921706,0.29978471644712956,0.10902144723793827,0.026697666342856047,0.2702327384083554,0.042336752339154404,-10.032525391148397,True,lbfgs
neg_persist_crossrun_mean_z_L,C5SER,NA_score_log,93,,-0.15698687188613475,1.1373075377017536,0.8902137111575072,1.5185904393007181,0.24984973281614709,0.26090022959294584,0.10176627977044705,0.27917651433933793,-164.36589041902275,True,powell
