ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,df_resid,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
-0.5268057557071784,0.3369146722793572,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_pos_vs_neu,PA_score,81,65,-0.09494554171391062,0.2162395557054847,-0.43907573433615976,0.6620628250554108,0.6620628250554108,0.1624737631731713,-0.0308015222484046
-0.11509954723685248,0.09307317793762682,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_pos_vs_neu,NA_score,81,65,-0.011013184649612835,0.052117764201394,-0.21131345172551094,0.833303822896465,0.833303822896465,0.18976307978948959,0.0027853289716794905
-0.5611003611713711,0.44971158277218215,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_pos_vs_neu,PA_score,81,65,-0.05569438919959446,0.2530651337837278,-0.2200792672102807,0.8264991660170454,0.8264991660170454,0.1606151619017403,-0.03308903150555054
-0.1423482863884161,0.10087304199180486,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_pos_vs_neu,NA_score,81,65,-0.02073762219830562,0.06089247201162255,-0.34056134548696637,0.7345320883484358,0.7345320883484358,0.19065062088274554,0.00387768724030213
