predictor,outcome,n,r,p,p_two_tailed
l_amyg-ant_vmPFC_neg_vs_neu,PA_score,80,0.15664409906133908,0.08262955016896832,0.16525910033793664
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,-0.18560416441191901,0.04964323270112792,0.09928646540225584
l_amyg-post_vmPFC_neg_vs_neu,PA_score,80,0.11160263283395158,0.16217031741225602,0.32434063482451203
l_amyg-post_vmPFC_neg_vs_neu,NA_score,80,-0.16403665371876464,0.07297786651014705,0.1459557330202941
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,80,0.033125885551564954,0.3852565251941834,0.7705130503883668
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,80,-0.005790822363914788,0.47967075557071037,0.9593415111414207
