predictor,outcome,n,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
l_amyg-ant_vmPFC_neg_vs_neu,PA_score,80,0.5449417575789204,0.2827180897427648,1.9275093365081224,0.029861730222768047,0.05972346044553609,0.4384336207024325,0.0946174701120851
l_amyg-ant_vmPFC_neg_vs_neu,NA_score,80,-0.10658172396918532,0.07310969416376069,-1.4578329890212587,0.07563321670784622,0.15126643341569243,0.39128240175484197,0.01859815793127584
l_amyg-post_vmPFC_neg_vs_neu,PA_score,80,-0.025513595304235914,0.27020100258926255,-0.09442450272110793,0.5374214870663901,0.9251570258672197,0.3959642811491424,0.02614649409759695
l_amyg-post_vmPFC_neg_vs_neu,NA_score,80,0.0019435411944160597,0.0688166974868201,0.02824229097579538,0.5112081889980677,0.9775836220038644,0.36489083144136314,-0.023951516655761562
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,80,0.5749103765185343,0.2814840105697052,2.0424264076490646,0.02325464801769858,0.04650929603539716,0.44325187998691906,0.10238568406054294
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,80,-0.10885603518808579,0.07303623049700371,-1.4904388472314651,0.07125923915677487,0.14251847831354975,0.3924248262461867,0.020440025988749944
