predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
r_amyg-ant_vmPFC_neg_vs_neu,C5SES,PA_score,79,,0.13556007444828314,0.1869885021745769,0.4684736503216249,0.2275871978895423,0.21988473016572097,-0.03843697434519166,0.5287028621593501,0.41787714428676215,-84.15974376450217,True,lbfgs
r_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score,79,,0.013190322961914325,0.05721733095609095,0.8176797962487488,-0.0382321552664427,0.5711448689641205,0.0034174287284718685,0.8461101164273257,0.01570411573881192,6.653145711172016,True,lbfgs
r_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score_log,79,,-0.05513119196118412,0.5082323033800884,0.9136178292478438,-0.033830416879820066,0.9579839392949456,0.009261416749061734,0.9535550174234111,0.02683482278628967,-142.66910255095993,True,powell
r_amyg-post_vmPFC_neg_vs_neu,C5SES,PA_score,79,,-0.22975182211310965,0.18398747822979597,0.211761580459775,-0.17895103708970594,0.49979793027563146,-0.06755708397165743,0.2636352362824552,0.39131158377978453,-84.02138735499236,True,lbfgs
r_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,79,,0.03959025501309032,0.04714670166967398,0.4010627010343437,0.08433544744007601,0.2514599042292047,0.004702257096297118,0.7819432263444339,0.015208913530654138,7.452243992958358,True,lbfgs
r_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score_log,79,,-0.07510224584771767,0.42869893479999865,0.860933128561663,0.6505673186321954,0.32432680847879736,0.010485232070934885,0.946401943917204,0.06306765683946826,-142.26482048927082,True,powell
