fc_var,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_ant_vmPFC_neg_vs_neu,PA_score,82,0.35394548341703547,0.24935053074815422,1.4194695409512599,0.16161726295903397,0.3696000489807747,0.03655856542344804,1.1097718069021134,0.36356433428355833
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score,82,-0.03550806255994159,0.0642546727909537,-0.5526144795019594,0.5828506877185737,0.3249235926247618,-0.0317205471206472,0.9110582690541589,0.5966220274098637
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,82,-0.4817266838204012,0.5713686466157109,-0.8431101123131792,0.402955886424495,0.3681132514955938,0.0342862900215678,1.102706773204224,0.3708688746589152
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,130,0.05384500852603846,0.18260212421833333,0.2948761344181143,0.7688160641025634,0.37503872298358465,0.04023803886764776,1.120185055696344,0.32224399476032795
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,130,-0.179401464419366,0.13766159588481336,-1.3032063391846624,0.19606522378214084,0.2169667360025439,-0.20251536971037898,0.5172252476271952,0.9915403631915443
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.07347043740962664,0.059323331315847036,-1.2384745728195559,0.21899005635136937,0.2709155645119934,-0.11966538307086738,0.6936220678160946,0.909839582162903
conn_l_amyg_post_vmPFC_neg_vs_neu,PA_score,82,-0.06430376987924119,0.24571369266918955,-0.2617020206758072,0.7945655762903467,0.3464787167667117,0.0012221897755404498,1.0035399469090178,0.4821533737045823
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score,82,0.018571043727215315,0.06231405322325722,0.2980233633764674,0.7668505381284498,0.32216975823167027,-0.03592923741952281,0.8996667461907107,0.611046240136093
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score_log,82,-0.2057119777367742,0.5559637795548524,-0.37000967563297577,0.7128497873487435,0.361288293060229,0.023855693167519787,1.0706976539169746,0.40506986762770647
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGP,130,0.07076591457090942,0.18018403844800457,0.39274241592342946,0.6955046200733872,0.3755384786700907,0.04100552081478215,1.122575428973183,0.31930342860742783
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN,130,-0.29650998561078457,0.13339275467432238,-2.222834263635322,0.028913166007087692,0.24551486831637515,-0.1586735950855669,0.6074267094363475,0.9655902942430723
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.11888036399707037,0.057652286436088,-2.062023405244446,0.04229618544147181,0.29337104696306604,-0.08518017787814869,0.7749837478035426,0.8243216828454776
conn_l_amyg_safety_vs_threat,PA_score,82,0.48494683381931086,0.2638646080889422,1.8378623693854668,0.07169046172243025,0.38483898931605887,0.05984826669058052,1.1841537697048359,0.29233307156832133
conn_l_amyg_safety_vs_threat,NA_score,82,-0.06349857812010329,0.06847657662225375,-0.9273036307055588,0.35797266990084364,0.33187377587642397,-0.021098568943578533,0.9402259999877963,0.5598650826348959
conn_l_amyg_safety_vs_threat,NA_score_log,82,-0.30078273845451636,0.6147738984094627,-0.48925749650838896,0.6266781820650886,0.36251757249663896,0.025734403249580207,1.0764123792382927,0.39883411107449407
conn_l_amyg_safety_vs_threat,C5SPGP,130,-0.020765798957343373,0.19212583222643304,-0.10808436698335028,0.9141865253120486,0.37447879311135635,0.03937814656386862,1.1175114013344292,0.32555309744533384
conn_l_amyg_safety_vs_threat,C5SPGN,130,0.1381187591705063,0.14545422834006502,0.9495685395105274,0.345055587447997,0.20961922238061403,-0.21379905134405708,0.4950641844922345,0.9944727245680872
conn_l_amyg_safety_vs_threat,C5SPGN_log,130,0.053670023368350875,0.06268352563121096,0.856206201356802,0.39431961819111283,0.2640256949419981,-0.13024625419621727,0.6696537644108221,0.928921571992433
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,82,0.2401400096011268,0.2864882548476454,0.8382193878378483,0.4056719553618764,0.3541955369078671,0.013015820557306212,1.0381494559422537,0.441596677217412
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,82,-0.021747727451693483,0.0730876414714737,-0.2975568374330656,0.7672046692538821,0.3221662106188934,-0.03593465924282335,0.8996521308180577,0.6110647563942262
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,82,-0.08524506212278848,0.6528203160231751,-0.13057967105264273,0.8966022024744754,0.35984435193537123,0.021648915221982423,1.064013031732091,0.41243311668374316
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,130,-0.20603575687752584,0.21607396857037955,-0.953542706882879,0.34305111572565006,0.3810910735352184,0.04953272007194254,1.149393672500032,0.28749079232139946
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,130,-0.26104309989313024,0.1628649192224668,-1.6028196933960719,0.11272836684985697,0.22484223938891112,-0.19042084665274372,0.5414452835963305,0.9870578121475657
