sample,outcome,age_var,beta_age,se_age,p_age,n,r2
daily_diary_full,PA_score,C2PAGE,0.008303456933595722,0.0021895646271818253,0.00015849336375942149,1173,0.20543552178139413
daily_diary_full,NA_score,C2PAGE,-0.002643594321956325,0.0008043802009102873,0.0010507977041756369,1173,0.13600677709265863
daily_diary_full,NA_score_log,C2PAGE,-0.021921107741689125,0.004667208819037214,3.0229720406364863e-06,1173,0.1832069618405433
neuro_sample,PA_score,C2PAGE,0.012534629485141559,0.007363133089948115,0.09173562281458834,137,0.25583992043795
neuro_sample,PA_score,C5PAGE,0.012602650649667618,0.007358067513913231,0.08979380220565966,137,0.25609219585289544
neuro_sample,NA_score,C2PAGE,-0.0045241599327908825,0.0028601716407918843,0.11679597989463822,137,0.32590904948444355
neuro_sample,NA_score,C5PAGE,-0.004075485393260189,0.002865260894136715,0.15796735235642623,137,0.3228059091556098
neuro_sample,NA_score_log,C2PAGE,-0.0388775998757689,0.01627749438710993,0.01875999962934657,137,0.2789071156955839
neuro_sample,NA_score_log,C5PAGE,-0.0375796705742444,0.016298455623064284,0.023150239033040844,137,0.27629842035701746
neuro_sample,C5SPGP,C5PAGE,-0.002882685052835097,0.006798860090064066,0.6720929132007161,231,0.20738766345027615
neuro_sample,C5SPGN,C5PAGE,-0.00945756443616656,0.005911571424994188,0.11144838053772735,231,0.10011515759368961
