fc_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,C5SES,130,-0.03471615361456379,0.022459365321204915,-1.5457317300852966,0.12602020457064103,-0.1305933613960555,0.02860937019489048,0.019930258981976853,0.1419532282233979,0.31405676856281906,-0.0791058153097115
conn_l_amyg_safety_vs_threat,PA_score,C5SES,82,0.3678455619295481,0.15764702999548494,2.3333491404188416,0.023610451240466835,0.8799030825327903,0.005335864970042299,-0.05686185076906781,0.01636373184414688,0.45140113877777654,0.12869592629411575
conn_l_amyg_safety_vs_threat,NA_score,C5SES,82,-0.09918501771597876,0.04096114857029396,-2.421441321299037,0.019054905679429506,-0.16796396708697944,0.037300192153882306,0.014537235463166731,0.018066928914657967,0.4027234166922504,0.05138425004063307
conn_l_amyg_safety_vs_threat,NA_score_log,C5SES,82,-0.3869120319374951,0.38285935437608126,-1.0105852906951123,0.31698569679096994,-0.7329770922029943,0.3228183677904073,0.06637516909622529,0.23823640423433276,0.3823069694443223,0.018958127940982505
conn_l_amyg_safety_vs_threat,C5SPGP,C5SES,130,-0.02040839933799543,0.1292713567828054,-0.15787255464707853,0.8749453469831652,-0.03246352347442094,0.8842071465075023,-0.00013517821090044263,0.9937189375980938,0.375908773289351,0.01819794822349119
conn_l_amyg_safety_vs_threat,C5SPGN,C5SES,130,-0.011233548555782263,0.09785119559448154,-0.11480236380898953,0.9088824241058933,0.13322523969082842,0.4306153479735546,-0.0008539733329979956,0.9476166379293574,0.21170478590870656,-0.24012295875337641
conn_l_amyg_safety_vs_threat,C5SPGN_log,C5SES,130,-0.010109533280386142,0.042123308993024064,-0.2399985547683435,0.8109303227687324,0.04773840539555803,0.5115543005261431,2.1574552928186642e-06,0.9996923530575359,0.2675571735053921,-0.15225761729029785
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,C5SES,82,0.02406797613243694,0.09757835631838979,0.24665281360043823,0.806167062560487,0.3370102470202313,0.2954983929970705,-0.02166532232017132,0.7234897553558495,0.3655245960494843,-0.007696229803760168
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,C5SES,82,0.0010505949620474749,0.02506856198864912,0.041908864278819714,0.9667349952306898,-0.028970460784382798,0.7250392233422713,0.00016405277331025658,0.9916747097571622,0.3246723059813633,-0.07257927873548176
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,C5SES,82,0.11727061668716904,0.22233316937618985,0.5274544370333967,0.6001652814865515,-0.09069719982747004,0.9011373459373265,-0.059292805374457414,0.6709546545374687,0.37117880312128115,0.0012839814279171913
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,C5SES,130,-0.040822809932088644,0.07328958590136388,-0.5570069666791357,0.5790398536502392,-0.2168127876687961,0.3412956132378524,0.023331414260561373,0.6051308601575394,0.3837749920851613,0.030572853402265898
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,C5SES,130,-0.09710178276901188,0.05431244108765144,-1.7878368348847626,0.07749660448896778,-0.3091637450447364,0.06912435802943057,0.05862877266599057,0.08213640519026914,0.25395232313190463,-0.17366036970712573
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,C5SES,130,-0.03660764584305783,0.023571388356421842,-1.5530542914789474,0.12426142416472273,-0.1127735385134031,0.1254758695591436,0.021689533532493716,0.1373871762181741,0.29545227529214446,-0.10837385960138257
conn_r_amyg_post_vmPFC_neg_vs_neu,PA_score,C5SES,82,-0.14058226565385135,0.1340313797697458,-1.0488757624920328,0.29918052508631304,-0.22048005011018856,0.558112877932469,0.044353749677258025,0.3536399540551235,0.36516218758677965,-0.008271819715114592
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score,C5SES,82,0.02669282758913756,0.034194228617740526,0.7806237680498189,0.43863217587224534,0.07803881286343521,0.41722360516215073,-0.008843108254538773,0.4677909418616073,0.3336485415082464,-0.05832290466337331
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score_log,C5SES,82,0.2911492084536882,0.3019272328515688,0.9643025761668236,0.33944459103318136,0.9830794725262056,0.24868774013482378,-0.09180475113845249,0.39375235457013535,0.3850139795557799,0.023257496941532785
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGP,C5SES,130,-0.08243756012197392,0.0932052845671636,-0.8844730264470094,0.37902700348900886,-0.03461372138966723,0.871867335670607,0.028983125022373712,0.42781605030647674,0.38157061204873965,0.027104987247407508
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN,C5SES,130,-0.18720051945954705,0.06664444231828491,-2.808944196209228,0.006211695981063394,-0.3744929671644466,0.016494599288277352,0.07085901021237308,0.007863821119011006,0.30297223874199586,-0.0965436731985676
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,C5SES,130,-0.07224437889633048,0.02915717095010491,-2.477756810492979,0.015274310871806872,-0.1349939206569235,0.046961045259020014,0.026944262734886704,0.020229055452405244,0.3310631529286091,-0.052351869173285825
conn_r_amyg_safety_vs_threat,PA_score,C5SES,82,0.30671801513889857,0.16175229341514494,1.8962205027392856,0.06360269018337732,0.7660291283247359,0.04439152955266386,-0.08910835607869139,0.05047656814153245,0.40974628015216996,0.06253820965344647
conn_r_amyg_safety_vs_threat,NA_score,C5SES,82,-0.03874111715582163,0.04246461419065855,-0.9123152981416697,0.3658953109853743,-0.12342183297343884,0.21160321866490184,0.011340637662052011,0.3360633475104854,0.34394518843271193,-0.04196940660686921
conn_r_amyg_safety_vs_threat,NA_score_log,C5SES,82,-0.09940683381831128,0.37861899880816047,-0.2625510978879297,0.7939542867333093,-0.93798479492051,0.28597730138232264,0.04105540758390214,0.6949958620202767,0.38261865193635036,0.019453153075380092
conn_r_amyg_safety_vs_threat,C5SPGP,C5SES,130,0.017157718061911575,0.1390091361046134,0.12342870794477334,0.9020696629521318,-0.18929153090566952,0.4560982312430354,-0.005834462118859435,0.854498127642858,0.38173074498367854,0.0273569036938357
conn_r_amyg_safety_vs_threat,C5SPGN,C5SES,130,0.09027435311871951,0.10571858196828088,0.8539118803712752,0.3956415210302274,0.15127491587885872,0.4336136652694047,-0.02233314167069963,0.3572117426511804,0.21167232362990707,-0.24017402746026817
conn_r_amyg_safety_vs_threat,C5SPGN_log,C5SES,130,0.0370174929658699,0.045524372644057266,0.8131357076636649,0.418494966107962,0.05521805209752986,0.5066343367312096,-0.009462101613072461,0.3649724910525626,0.26706711467954236,-0.1530285634919395
