fc_var,condition,seed_target,persistence_var,n,r,p
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.050457376915845314,0.5425086093127248
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.018977135001176565,0.8189233858617492
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.016314330418060893,0.8439819744000276
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.055011514155303344,0.5066438533901059
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.03799635391470635,0.6465991033874076
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.06835861943545893,0.40906877603199027
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.06585704982124838,0.4296611088719789
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_R,146,-0.09569449911738102,0.250563765205343
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,-0.10164451601004093,0.22216819004184
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,0.10291106414817018,0.21325701551593848
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,0.13537055683334273,0.10091152715840815
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.1486334728199788,0.0714038367850177
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,0.17854186551031442,0.029922508594525152
