persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_L,PA_score,94,8,-1.05926284609074,0.5039399668162561,-2.101962368221854,0.03555657241541147,0.34111919920290884,-93.96307866670497,True,lbfgs
neg_persist_crossrun_mean_z_L,NA_score,94,8,0.28741835460627124,0.16454867369246431,1.746707209220331,0.08068813921910395,0.025344507014980984,7.463240135726778,True,lbfgs
neg_persist_crossrun_mean_z_L,NA_score_log,94,8,1.3723891372497754,1.2746987840185975,1.0766379904460257,0.2816420250329309,1.9235549149074442e-10,-165.83170276374113,True,powell
neg_persist_crossrun_mean_z_L,C5SPGP,152,8,-0.758673897164658,0.39519294549421474,-1.9197556682493067,0.05488876895396073,0.017603696812613968,-145.15383949992082,True,powell
neg_persist_crossrun_mean_z_L,C5SPGN,152,8,-0.20920974852467752,0.28915108156142894,-0.7235309216031128,0.469353763831749,1.7885882933332772e-11,-88.97803098162615,True,powell
neg_persist_crossrun_mean_z_L,C5SPGN_log,152,8,-0.09136279667308823,0.12641925587856107,-0.7226968394818885,0.46986615772684326,3.5765787250223155e-12,25.02245698261993,True,powell
neg_persist_crossrun_mean_z_R,PA_score,94,8,-0.04043665869368983,0.530407336073206,-0.07623698984455378,0.9392305546668439,0.36985984784948506,-96.18275062050321,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score,94,8,-0.1207857209694225,0.17511025452738718,-0.6897695471656782,0.4903391222033794,0.027094108445422812,6.22599384855107,True,lbfgs
neg_persist_crossrun_mean_z_R,NA_score_log,94,8,0.1036618548808183,1.3507722936511355,0.07674265704741431,0.9388282691645444,1.9954577994029086e-10,-166.35690586858954,True,powell
neg_persist_crossrun_mean_z_R,C5SPGP,152,8,-0.6818901959938528,0.43261466121784553,-1.5762068582564361,0.1149781384949144,0.03389550646549213,-145.64938086431113,True,powell
neg_persist_crossrun_mean_z_R,C5SPGN,152,8,0.09545211601939989,0.2932587631504145,0.3254876853260198,0.7448120013590223,9.28114370449694e-10,-89.13864239175717,True,powell
neg_persist_crossrun_mean_z_R,C5SPGN_log,152,8,0.0036179908550801254,0.13289189692822034,0.027225067432323065,0.9782802221941774,3.492437167026689e-05,24.831068657185597,True,powell
neg_persist_crossrun_mean_z_bilateral,PA_score,94,8,-1.1108821857907902,0.6420896416604669,-1.7301045114479794,0.08361160435150178,0.35681722714146746,-94.47482556393999,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,NA_score,94,8,0.11098876746263035,0.21526129469051908,0.515600204032029,0.6061336677833435,0.027800728953659728,6.339980095400932,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,1.2431694438142677,1.744706970170055,0.7125376725543184,0.4761318917372952,0.00879802397323137,-165.85067985324315,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGP,152,8,-1.4803748031832709,0.524454408111032,-2.8226949383746267,0.004762186103949645,0.010802505796285047,-142.7992487571442,True,powell
neg_persist_crossrun_mean_z_bilateral,C5SPGN,152,8,-0.2461509885751657,0.3775001097334026,-0.6520554093322039,0.5143654282480286,1.7991457870270362e-11,-88.75356031379368,True,powell
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,8,-0.13471265519172632,0.16700737044403718,-0.8066270059432343,0.419881409867898,1.7326008420042945e-08,25.377001609903573,True,lbfgs
pos_persist_crossrun_mean_z_L,PA_score,94,8,-0.3025785594499312,0.3959940974478863,-0.7640986605608464,0.44480845045505224,0.3791635112841236,-96.2045105317136,True,lbfgs
pos_persist_crossrun_mean_z_L,NA_score,94,8,0.0861262876402395,0.13359137237918034,0.6446994750213519,0.5191219565961687,0.027212617920116228,5.928726274726046,True,lbfgs
pos_persist_crossrun_mean_z_L,NA_score_log,94,8,-0.4114158671571933,1.0737909035354323,-0.38314337158437073,0.7016134628912957,2.0594743890618637e-10,-166.51941432726852,True,powell
pos_persist_crossrun_mean_z_L,C5SPGP,152,8,-0.11458738955598614,0.3916780369347311,-0.2925550547912925,0.7698622723558272,0.038981972030145466,-146.97792234542993,True,powell
pos_persist_crossrun_mean_z_L,C5SPGN,152,8,-0.34450561799388296,0.25290213994663036,-1.3622091852073042,0.17313187789164586,1.739421733706206e-11,-88.41043707071623,True,powell
pos_persist_crossrun_mean_z_L,C5SPGN_log,152,8,-0.19201918617384395,0.11416304544884875,-1.681973228892873,0.09257403125687398,3.5274207537000847e-12,26.091323141635144,True,powell
pos_persist_crossrun_mean_z_R,PA_score,94,8,0.9449986741860013,0.4778997758397275,1.9773992831980822,0.047996514942561117,0.31677234001138077,-94.2863539294006,True,lbfgs
pos_persist_crossrun_mean_z_R,NA_score,94,8,-0.14043407046051584,0.1450992692691944,-0.9678482267197124,0.33312017422121176,0.02595685238872197,6.248731146752959,True,lbfgs
pos_persist_crossrun_mean_z_R,NA_score_log,94,8,-0.31107262345075964,1.1118050085607687,-0.27979062970173435,0.7796381411233394,2.0197639726940594e-10,-166.51816204949586,True,powell
pos_persist_crossrun_mean_z_R,C5SPGP,152,8,0.09635346263884356,0.4099327273585233,0.23504701188342478,0.8141722449437064,0.031156952726017626,-146.9207681978466,True,powell
pos_persist_crossrun_mean_z_R,C5SPGN,152,8,-0.1500390169359471,0.2735994208148541,-0.5483893806832257,0.5834245665340339,1.2696660601657046e-09,-89.1102355013324,True,powell
pos_persist_crossrun_mean_z_R,C5SPGN_log,152,8,-0.09261799646826695,0.12378786795495901,-0.7481993025517378,0.4543399516392985,1.3896484653336261e-05,25.041177488017013,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,PA_score,94,8,0.19456311115845384,0.566704266601516,0.34332388624005705,0.7313548130405811,0.35814608332275183,-96.18929266946242,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,NA_score,94,8,-0.028197519169036123,0.17181313282197472,-0.16411736813071887,0.8696387494052908,0.027414287858424927,5.9824733306680855,True,lbfgs
pos_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,-0.7265849918744257,1.4413116667030488,-0.5041137240888809,0.6141814632890727,1.9407876350421852e-10,-166.1800902100676,True,powell
pos_persist_crossrun_mean_z_bilateral,C5SPGP,152,8,-0.1719255307099405,0.5410801194397572,-0.31774505204137765,0.7506783342077427,0.039348490359543215,-146.64601857318092,True,powell
pos_persist_crossrun_mean_z_bilateral,C5SPGN,152,8,-0.5071811726979489,0.3493773136963098,-1.4516717394501677,0.14659290084197005,1.928055178648676e-11,-87.96285546408131,True,powell
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,8,-0.2871302857140134,0.15759839797577008,-1.8219111958115093,0.06846846126027997,3.5470894233967637e-12,26.65424004662958,True,powell
neg_persist_concat_z_L,PA_score,95,8,-0.18456707259312777,0.1885322298505835,-0.9789682790014301,0.3275956531814932,0.341561987680544,-98.77838468808542,True,lbfgs
neg_persist_concat_z_L,NA_score,95,8,0.049089589882380845,0.059455983739320345,0.82564591139573,0.4090049831234519,0.02818966495701127,5.781534450071661,True,lbfgs
neg_persist_concat_z_L,NA_score_log,95,8,0.18567921431902606,0.5183155290905475,0.3582358696541942,0.7201668059797285,2.0592250432680673e-10,-170.22655123000922,True,powell
neg_persist_concat_z_L,C5SPGP,150,8,-0.17086418975134318,0.15626620422948945,-1.0934174192931405,0.2742105688267652,0.057039843982705694,-143.79422262768776,True,powell
neg_persist_concat_z_L,C5SPGN,150,8,-0.05997510480539997,0.11373755366652338,-0.5273113661407381,0.5979773824863039,1.7258803311758758e-11,-88.05717608285306,True,powell
neg_persist_concat_z_L,C5SPGN_log,150,8,-0.032055196701242426,0.05027897388171578,-0.6375467561580342,0.5237687645029505,3.5284712449783546e-12,24.605376211994326,True,powell
