fc_var,persistence_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.27933039263502335,0.2945120482336178,0.9484514956530681,0.34562036288707254,0.29941771327020505,-0.07589422604932805,0.7977836085179449,0.795140602268058
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.5160643078313037,0.3368123018886932,-1.532201481173476,0.12923044155879196,0.3111667313063966,-0.05785109120803389,0.8432295469800201,0.7316400801867005
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.04079542481025686,0.40506913271939404,0.10071225258854102,0.9200188799285345,0.292000632770261,-0.08728474253138496,0.7698705296454753,0.8305813872964114
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.2805303020765706,0.27769976844786914,-1.010192783539295,0.3153040150526033,0.3004141891812988,-0.07436392375729128,0.8015787977205697,0.7900931281329842
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,0.25506837986606995,0.29877567305512814,0.8537120082698513,0.39569257832361415,0.29800597823135533,-0.07806224771613302,0.792425303894105,0.8021777094472973
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,-0.057545215261285365,0.3733159227278448,-0.15414615814080088,0.8778642418978331,0.2921153811709448,-0.08710852177319195,0.7702979134571487,0.8300623492879119
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,0.06856569778001105,0.12258669503926033,0.5593241400141492,0.5774467161253114,0.29252967677038555,-0.08251483192965092,0.7799865615532928,0.8155291763919685
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,-0.2397476992661674,0.13179692876120955,-1.8190689382492644,0.07250721930435533,0.3170891070941336,-0.044935944566807606,0.8758761462483184,0.6807793766316639
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.0722451995517325,0.14848608231914084,-0.4865452601574876,0.6278629126405291,0.2918827188119504,-0.08350475555279879,0.7775505011345678,0.8185716357227824
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.24990582599245892,0.298696337869314,0.8366551387108001,0.40516032354292164,0.29519069002303666,-0.08238572603605099,0.7818038348476771,0.8158057378386652
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.1475357388782843,0.34555614395333634,-0.42695157200911305,0.6705069431374935,0.2908562541996387,-0.08904218105055506,0.765615825735335,0.8357064432783097
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.21531005500540235,0.40969282151088743,0.5255402186725416,0.6005922921296908,0.2916464187045803,-0.0878287141322518,0.7685521223072695,0.8321776900123168
