persistence_var,affect_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
neg_persist_crossrun_mean_z_L,PA_score,83,-1.1488471628321413,0.793399610815622,-1.4480057050332,0.1533969801660931,0.36893552086986336,0.041716902061644356,1.1274893898567993,0.34488534034506235
neg_persist_crossrun_mean_z_L,NA_score,83,0.46813022298223295,0.19496802294320853,2.401061548019045,0.019821054739870697,0.3861688437160189,0.06788602193913973,1.2132883627214066,0.26637429230705867
neg_persist_crossrun_mean_z_L,NA_score_log,83,1.357083103580053,1.8207913325975864,0.7453259905647751,0.45930660656217615,0.3657725511497819,0.03691387396818724,1.1122484414416218,0.3603058720972351
neg_persist_crossrun_mean_z_L,C5SPGP,131,-0.8983515521200134,0.48850361020067706,-1.8389865158846441,0.06940903678431214,0.3925934830249367,0.07102532697931496,1.2208717674434106,0.21288394703332694
neg_persist_crossrun_mean_z_L,C5SPGN,131,-0.15996445414328864,0.37504417685361935,-0.4265216313589723,0.6708060792410517,0.20277303577899397,-0.2192882982203621,0.4804349971070869,0.9959563911423694
neg_persist_crossrun_mean_z_L,C5SPGN_log,131,-0.05233109558487781,0.16174416112892046,-0.32354240931866823,0.7470791809964363,0.2578146750959365,-0.13510696750033246,0.6561478095031881,0.9387058947176329
neg_persist_crossrun_mean_z_R,PA_score,83,-0.6573472466636598,0.8453390894353862,-0.7776136876655158,0.44019042150841947,0.3516920941309213,0.015532439235843354,1.0462055425440375,0.4319003644730895
neg_persist_crossrun_mean_z_R,NA_score,83,0.11515217390903887,0.21504308589764518,0.5354841957757631,0.594513718391807,0.3242239987332375,-0.026178372293972796,0.925290538938905,0.5786114283723802
neg_persist_crossrun_mean_z_R,NA_score_log,83,1.4324467160997911,1.9139337312144267,0.7484306759100154,0.4574479200642311,0.3658264608527194,0.036995736850425676,1.11250693487561,0.360040738891773
neg_persist_crossrun_mean_z_R,C5SPGP,131,-0.8374446666368587,0.5568180761962479,-1.5039825437378675,0.136292552620847,0.3847981121898614,0.05910299511390571,1.1814672434899356,0.25175201499634337
neg_persist_crossrun_mean_z_R,C5SPGN,131,0.24814097493310783,0.4243766097345022,0.5847187833663815,0.5602857083334151,0.2042674561211556,-0.21700271416764427,0.4848846904615177,0.9955583312007162
neg_persist_crossrun_mean_z_R,C5SPGN_log,131,0.03796667476399129,0.1832578923775464,0.20717620546335141,0.8363677727981906,0.25727570412247325,-0.13593127604798205,0.6543009587748012,0.9399341547070987
neg_persist_crossrun_mean_z_bilateral,PA_score,83,-1.632351695132118,1.019233500261723,-1.6015483151926972,0.11508998955893769,0.374159380810387,0.049649430119476534,1.1529981746746703,0.32005693244688804
neg_persist_crossrun_mean_z_bilateral,NA_score,83,0.4809719756633885,0.25636899866480506,1.8760925781523423,0.06605174491975978,0.36220697560582416,0.03149948147551074,1.0952487682758667,0.3780098191303446
neg_persist_crossrun_mean_z_bilateral,NA_score_log,83,2.7249011629352595,2.3315519868760193,1.1687070150154695,0.24765526347041886,0.3750554510959563,0.05101012944200767,1.1574166514166864,0.3158829569342957
neg_persist_crossrun_mean_z_bilateral,C5SPGP,131,-1.5598899079739141,0.6536104193375281,-2.38657442082235,0.01922573804029275,0.4080898819057701,0.09472570173823669,1.302286310093239,0.1472649728600943
neg_persist_crossrun_mean_z_bilateral,C5SPGN,131,-0.07564417380075361,0.5088072034045582,-0.14866962042714654,0.8821664780053733,0.20127446950453753,-0.22158022311070713,0.475989679243496,0.9963245845671524
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,131,-0.05528798208760555,0.21927875392112647,-0.2521356086668222,0.8015449127276713,0.2574560109479169,-0.13565551266789178,0.6549185039905644,0.9395252856623906
pos_persist_crossrun_mean_z_L,PA_score,83,0.3651442240394529,0.5906080231184421,0.618251377811415,0.539008701384021,0.349040217467694,0.011505515413905654,1.034086911194311,0.4458143466422168
pos_persist_crossrun_mean_z_L,NA_score,83,0.06630273631954706,0.15006308599290066,0.44183241921789995,0.6603748686765022,0.32308271634250507,-0.027911430739159027,0.9204789282920296,0.5847008909087783
pos_persist_crossrun_mean_z_L,NA_score_log,83,-0.20138512781106055,1.3410936335315957,-0.15016485260670354,0.8811940511799944,0.3595155580958145,0.02741251414549606,1.0825421947942064,0.3915806140621726
pos_persist_crossrun_mean_z_L,C5SPGP,131,-0.4183167572827997,0.46498987728454744,-0.8996255138406241,0.3708611918254985,0.37438356486501445,0.043174863911198624,1.1303554640529172,0.30934154317722967
pos_persist_crossrun_mean_z_L,C5SPGN,131,-0.20404702290658078,0.35143787278962324,-0.5806062428243949,0.5630420526697639,0.20422276857709964,-0.21707105982325925,0.48475138919676997,0.9955707008404149
pos_persist_crossrun_mean_z_L,C5SPGN_log,131,-0.1317924539521841,0.15112032893948377,-0.8721027467122606,0.3856091182913197,0.26349079355814253,-0.12642584514637023,0.6757618613906384,0.9246342092328198
pos_persist_crossrun_mean_z_R,PA_score,83,0.8503210469691034,0.6289546435156228,1.3519592481520204,0.18202400435135246,0.36589563545478465,0.037100779764672964,1.1128386868669273,0.3597006457767452
pos_persist_crossrun_mean_z_R,NA_score,83,-0.14977517275459193,0.16092310586316455,-0.9307250935235374,0.3561381861524092,0.3313616501886093,-0.015339716380259993,0.955755246851002,0.540327906625353
pos_persist_crossrun_mean_z_R,NA_score_log,83,0.3713864342654678,1.4464436321440415,0.2567583181343661,0.7983411080740151,0.36002939814470947,0.028192789775299487,1.0849598539288186,0.3889766858654941
pos_persist_crossrun_mean_z_R,C5SPGP,131,-0.14768910337052077,0.5020264868083151,-0.29418587913452415,0.7693330797065747,0.3690691699248768,0.03504696576745869,1.1049240599314822,0.34095718718545004
pos_persist_crossrun_mean_z_R,C5SPGN,131,-0.0900494040991131,0.3784511176609694,-0.23794196898047668,0.8124987414845866,0.20159857119274394,-0.2210845381758033,0.4769496739387458,0.9962474822702367
pos_persist_crossrun_mean_z_R,C5SPGN_log,131,-0.07812669756768918,0.16297360820323215,-0.479382511248467,0.632897634816651,0.25890429496984857,-0.1334404900461139,0.6598897318319525,0.936166657588863
pos_persist_crossrun_mean_z_bilateral,PA_score,83,0.6871550995807487,0.7616645435865164,0.9021755119978166,0.3709702617278554,0.35416683765110213,0.019290383099821673,1.0576044772262954,0.4190195337160188
pos_persist_crossrun_mean_z_bilateral,NA_score,83,-0.02976296301091992,0.1946008487400739,-0.1529436444065769,0.8790127956106635,0.32092974670444485,-0.031180755004361682,0.9114461089543195,0.5961526594989222
pos_persist_crossrun_mean_z_bilateral,NA_score_log,83,0.17444290477145508,1.7365627864177022,0.10045297880147919,0.9203567448128342,0.35936781548189534,0.027188164250285474,1.081847771678611,0.3923304162138666
pos_persist_crossrun_mean_z_bilateral,C5SPGP,131,-0.55439267787306,0.6184161303185457,-0.8964718911641143,0.37253274441030837,0.3743422656362314,0.04311170038482459,1.1301561658481072,0.3095818071255554
pos_persist_crossrun_mean_z_bilateral,C5SPGN,131,-0.3684434309356169,0.46659914192261365,-0.7896358947799436,0.4319376936786278,0.20688474143448787,-0.21299980721784206,0.4927181581187243,0.9947807079435804
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,131,-0.231144353105926,0.20031105352160503,-1.1539271000888394,0.25176427977088334,0.26836196047061156,-0.11897582516259408,0.6928370286206476,0.9108349484833265
neg_persist_concat_z_L,PA_score,84,-0.30064592721991007,0.33039184401415655,-0.909967763026947,0.3668102184806802,0.3344895034884713,-0.0043158401901250976,0.9872615935059768,0.5012129509884795
neg_persist_concat_z_L,NA_score,84,0.1343995494497958,0.08049217175304664,1.669721993116787,0.10065704577038963,0.35461974634960036,0.026062526309396983,1.0793241624889809,0.3944642025206445
neg_persist_concat_z_L,NA_score_log,84,0.32822905291662696,0.7403482757127298,0.4433441174704465,0.6592559541778171,0.3573817458431183,0.030230634635978637,1.0924057220054424,0.3803820262084043
neg_persist_concat_z_L,C5SPGP,132,-0.2864785415623199,0.19765242862350985,-1.4494056235858697,0.15081953301626835,0.3520850428622636,0.024403915114442842,1.074474582293381,0.38086402928938007
