fc_var,persistence_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.08992526615549648,0.28286389065876905,0.3179100236020483,0.7512031229449383,0.2574945041456579,-0.07008144990772824,0.786060457000739,0.8158005223874518
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.42332912858931143,0.30554955949018897,-1.3854679721863723,0.1689316051644274,0.27048737211879537,-0.05135643429938308,0.8404305651522942,0.7400978010689503
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,-0.09245055333333861,0.3771240513821159,-0.24514626684380925,0.8068357156790604,0.25719643939078407,-0.07051101381916403,0.7848354893106726,0.8173763487913812
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,-0.3572253856253578,0.26909709029367385,-1.3274962774049577,0.1873080694826013,0.26938163085580713,-0.05295000259016036,0.8357281845902463,0.7470407722950007
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,0.06626215183898132,0.2933829255148456,0.22585551535659615,0.8217657385424109,0.2571303048468122,-0.07060632536782951,0.7845638269924607,0.8177249594465376
conn_l_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,-0.28170992231364766,0.358162739719637,-0.7865416780488245,0.4333738069589771,0.2612395033849385,-0.06468424512170623,0.8015356493103557,0.7953606640912843
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,-0.0072379276989227095,0.1149570233800029,-0.06296203125403617,0.9499211758104966,0.2541000023014366,-0.07084653134942265,0.7819748050442531,0.8184462206964997
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,-0.1523304716718806,0.11555899130410076,-1.3182052729329679,0.19041669115274792,0.2666870852723702,-0.0527759666881813,0.8347979011522797,0.7460336124281757
conn_l_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,-0.07395647693402663,0.1301019911977278,-0.5684500002896056,0.5709911919160204,0.256449611653198,-0.06747332980481469,0.7916994409191583,0.8058952180890622
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,148,0.09959392312395407,0.2830763843236259,0.35182702846060704,0.7256937899694598,0.2623201715126139,-0.06312681164358591,0.8060304291919402,0.7892461442381918
