fc_var,persistence_var,n,r,p
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.06030180133965389,0.4989390008585757
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,130,0.10173113801009309,0.249443756792129
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,130,0.1622888117360702,0.06507318527366572
conn_r_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,130,0.1617169996495021,0.06603764641809783
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,130,-0.10270891605148057,0.24489863967229888
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,130,0.2147662509101629,0.01413691406868631
conn_r_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,130,0.033028482514660895,0.7091132060769053
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_L,128,0.016861035433115016,0.8501688888819571
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_R,128,0.04351298020507032,0.6257659079459985
conn_r_amyg_safety_vs_threat,neg_persist_concat_z_bilateral,128,0.01578745427658672,0.8596077529894924
