persistence_var,n,r,p
neg_persist_crossrun_mean_z_L,131,-0.11336657926597629,0.19730609368268107
neg_persist_crossrun_mean_z_R,131,0.0010286912431451342,0.9906960239362534
neg_persist_crossrun_mean_z_bilateral,131,-0.08839135851863691,0.31539987485507076
pos_persist_crossrun_mean_z_L,131,-0.09009720413277601,0.30611427588303314
pos_persist_crossrun_mean_z_R,131,0.08107246840472433,0.3572906485904562
pos_persist_crossrun_mean_z_bilateral,131,-0.00261060751879124,0.976391292733311
neg_persist_concat_z_L,132,-0.04294036387255616,0.6249263121019676
neg_persist_concat_z_R,132,-0.094277150172051,0.28225978286065506
neg_persist_concat_z_bilateral,132,-0.09387975755409661,0.2843024418951727
