fc_var,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_ant_vmPFC_neg_vs_neu,PA_score,93,0.2830190338375022,0.22877403524696172,1.2371116920326337,0.22063714150491662,0.3421473997333142,0.03932636151531599,1.129866675534628,0.33558814883805616
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score,93,-0.01470049417335905,0.07245917198753005,-0.2028796875554823,0.8398828829493061,0.5272419447911407,0.309623157472777,2.4227776989668453,0.0017227197824753616
conn_l_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,93,-0.2870887236644333,0.50150852730495,-0.5724503334115085,0.5690542503334031,0.3934893417629687,0.11430189590782736,1.4094091536162188,0.1281782541572754
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,148,0.12288042854054693,0.1644446496745249,0.7472449166558872,0.4566348799216655,0.35047384540131366,0.06391818896071677,1.223056804233655,0.20177211246253626
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,148,-0.031545592390203686,0.12254773895624907,-0.2574147239180465,0.7973772262346267,0.20022088875095245,-0.15262283680009792,0.5674491970581577,0.9824975391926457
conn_l_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.005065525839779511,0.054027222128217985,-0.09375876901014735,0.9254847103449617,0.2460232402524728,-0.08661356551849497,0.7396152078909404,0.8708071222666046
conn_l_amyg_post_vmPFC_neg_vs_neu,PA_score,93,-0.0005663077271409467,0.22559382041087214,-0.002510298048543773,0.9980050061182015,0.3261663965696163,0.0159890235619794,1.051548001090285,0.42184450019706116
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score,93,-0.017081772185577656,0.07058978863482687,-0.24198644755751578,0.8095766460842226,0.5273723743691043,0.30981362606281904,2.4240458196912167,0.0017130670385906194
conn_l_amyg_post_vmPFC_neg_vs_neu,NA_score_log,93,-0.17198226291801155,0.4894272519910165,-0.3513949462731763,0.7264645915157733,0.3915271210223412,0.11143643069929199,1.3978583885482379,0.13385956368455065
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGP,148,0.09288323946360665,0.16449514378497954,0.5646564228365266,0.573547173922103,0.34895324314487985,0.06172673276762097,1.2149061125539757,0.20944250043544313
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN,148,-0.2059809954226378,0.12077189865271093,-1.7055374447242262,0.09113781417785205,0.22189159086981258,-0.12139153080526999,0.6463807185948188,0.9487560598469595
conn_l_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.079439594754004,0.053406870848927764,-1.487441475062546,0.1399831688037008,0.2619669361848084,-0.06363588608659976,0.8045597834727743,0.7912552407643499
conn_l_amyg_safety_vs_threat,PA_score,93,0.359743555968527,0.2567965635883522,1.4008892912803927,0.16615377628761052,0.3465225742522867,0.04571550525730761,1.151976166684004,0.31341888531020085
conn_l_amyg_safety_vs_threat,NA_score,93,0.004176934995187665,0.08163147518318839,0.05116819199719528,0.9593533897986666,0.5269527340597941,0.30920081799208043,2.4199682995943372,0.0017442989983773888
conn_l_amyg_safety_vs_threat,NA_score_log,93,-0.13435970083685905,0.5660336621597641,-0.23737051313201893,0.8131395949161162,0.3908793035174567,0.11049041148580985,1.3940613006642895,0.13577402705512087
conn_l_amyg_safety_vs_threat,C5SPGP,148,0.035536347469133533,0.17992098444343232,0.19751085499593998,0.8438208539828604,0.34716784725674543,0.059153662222956704,1.2053845445703202,0.21867719689966883
conn_l_amyg_safety_vs_threat,C5SPGN,148,0.2081795391138787,0.13218704612505566,1.5748860816280763,0.11837944512151279,0.21869968774806403,-0.12599162648073126,0.6344798337532176,0.9555643063240431
conn_l_amyg_safety_vs_threat,C5SPGN_log,148,0.08874433071250162,0.058306145747972965,1.5220407655840782,0.13109308935134534,0.2627036203578782,-0.06257419419011678,0.8076284597611748,0.7870537834790047
conn_r_amyg_ant_vmPFC_neg_vs_neu,PA_score,93,0.15347648282749393,0.2771906367526671,0.5536856678331404,0.5817538577178261,0.32942943007314596,0.020754088360784628,1.0672359775991576,0.40365707017571895
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score,93,0.02268092575915305,0.08693899308255942,0.2608832349555128,0.7950334536909218,0.527443586349029,0.3099176181604868,2.424738484059354,0.0017078174796358245
conn_r_amyg_ant_vmPFC_neg_vs_neu,NA_score_log,93,-0.019036377756183054,0.6034139538734745,-0.0315477917505611,0.9749324130149615,0.3903441607910758,0.10970893321871389,1.3909307258669994,0.13737011031088756
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGP,148,-0.11068272300238374,0.20190509910867,-0.5481918163087686,0.5847579800772438,0.3488366369396225,0.06155868264827957,1.2142826545814576,0.2100381097770508
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN,148,-0.23689558769446203,0.14848231272896759,-1.5954465103657145,0.1137062922273806,0.21918682333263484,-0.12528957813826147,0.6362898079424842,0.9545719637279214
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.09116266692524211,0.06563625811977547,-1.3889071305509997,0.16788614353978107,0.2599542875696669,-0.06653646791430368,0.7962071917911614,0.802507659194942
conn_r_amyg_post_vmPFC_neg_vs_neu,PA_score,93,-0.21256041814408033,0.282559776134479,-0.7522670815074407,0.45469201834719286,0.33216524245969514,0.024749242957015194,1.0805073353275463,0.3886113254693291
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score,93,0.014465430295452546,0.08883358908070225,0.1628373956872462,0.8711676656686733,0.5271320999131319,0.3094627490794942,2.421710258675845,0.0017308871964087384
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score_log,93,0.4763245599010455,0.6134370666828737,0.7764848030405852,0.44036838456180194,0.3961138983094197,0.11813458165820023,1.4249761567923545,0.12085306091039717
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGP,148,-0.0449104705262896,0.18782152147897288,-0.23911248387644143,0.8114981525275635,0.34728403900222016,0.05932111503261139,1.2060026138603597,0.218068736896315
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN,148,-0.25746545983644525,0.13732542116312657,-1.8748565098562948,0.06367327326494002,0.22636215392543324,-0.11494866051922847,0.6632141272574128,0.9379556132979927
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,148,-0.09338395893148342,0.06086084793353059,-1.5343847827009094,0.12803108698801977,0.2629701846275804,-0.06219002803672247,0.808740351326662,0.7855227375908982
conn_r_amyg_safety_vs_threat,PA_score,93,0.364795687968676,0.2770158806440316,1.31687644448602,0.192650250381476,0.34421766002415133,0.04234959876542743,1.140291750604018,0.3250096987167773
conn_r_amyg_safety_vs_threat,NA_score,93,0.009004264518456144,0.08789848653753467,0.10243935786779579,0.9187333135337815,0.5270118599113307,0.30928716050543537,2.4205423700176687,0.0017398676192308814
conn_r_amyg_safety_vs_threat,NA_score_log,93,-0.48567189291980517,0.6067221038022249,-0.800484917025738,0.4264383095582328,0.3964730320640756,0.11865903095071362,1.4271168136781367,0.11987485895209606
conn_r_amyg_safety_vs_threat,C5SPGP,148,-0.06193669243295563,0.20768090565474492,-0.2982300767501519,0.7661342287724393,0.3474871406823533,0.05961382039515628,1.207083519708191,0.21700764987966611
conn_r_amyg_safety_vs_threat,C5SPGN,148,0.06476372098497368,0.15433070967000956,0.41964247506832364,0.6756292102400344,0.20108063688910327,-0.15138378801276287,0.5704990991504701,0.981643561874062
conn_r_amyg_safety_vs_threat,C5SPGN_log,148,0.01795802259618816,0.06805558561562208,0.26387286853448094,0.7924102614400144,0.24647264501005262,-0.08596589395610055,0.7414081585623469,0.8688737066519681
