ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,r,p,p_two_tailed
-0.15830416472398087,0.2767856349316813,95.0,two-sided,fisher_z,ok,r_amyg-ant_vmPFC_neg_vs_neu,PA_score,81,0.062195049669936255,0.5812294808554302,0.5812294808554302
-0.17694215326846807,0.25898507399651444,95.0,two-sided,fisher_z,ok,r_amyg-ant_vmPFC_neg_vs_neu,NA_score,81,0.043071320337635284,0.7026140992860141,0.7026140992860141
-0.18983115186299984,0.2464995264674629,95.0,two-sided,fisher_z,ok,r_amyg-post_vmPFC_neg_vs_neu,PA_score,81,0.02975143473261948,0.7920423227513526,0.7920423227513526
-0.21771039942934575,0.21898822126381023,95.0,two-sided,fisher_z,ok,r_amyg-post_vmPFC_neg_vs_neu,NA_score,81,0.0006708968939258195,0.9952572245103599,0.9952572245103599
