moderator_ci_low,moderator_ci_high,moderator_ci_level,moderator_ci_sidedness,moderator_ci_method,moderator_ci_status,predictor_ci_low,predictor_ci_high,predictor_ci_level,predictor_ci_sidedness,predictor_ci_method,predictor_ci_status,interaction_ci_low,interaction_ci_high,interaction_ci_level,interaction_ci_sidedness,interaction_ci_method,interaction_ci_status,predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
-0.16208100983391344,0.022999483214622488,95.0,two-sided,wald_normal,ok,-0.523313954771627,0.1323498655395904,95.0,two-sided,wald_normal,ok,-0.34337496624411223,0.20989333991935052,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,C5SPGP,126,,-0.06674081316238087,0.1411424675472541,0.636312124159562,-0.19548204461601829,0.2425237675133025,-0.06954076330964548,0.14079297468907215,0.09843541103935458,-122.47299338270062,True,powell
-0.029761985136883246,0.0958683540858534,95.0,two-sided,wald_normal,ok,-0.4709334050693589,-0.016581067573005176,95.0,two-sided,wald_normal,ok,-0.33223298163637294,0.07188517240947548,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,C5SPGN,126,,-0.13017390461344874,0.10309326019087109,0.2067038318777965,-0.24375723632118204,0.035464260660893476,0.033053184474485076,0.3023869732113931,2.9344061917102884e-11,-77.16013741227283,True,powell
-0.011554199268666212,0.04372714724142196,95.0,two-sided,wald_normal,ok,-0.19777846927864567,0.0011281022700685012,95.0,two-sided,wald_normal,ok,-0.12907274224100734,0.044343953118599407,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,C5SPGN_log,126,,-0.042364394561203965,0.04423976581393728,0.33825999724311817,-0.09832518350428858,0.05265592269538599,0.016086473986377876,0.25400693053858103,3.647451853002036e-12,17.487948989127517,True,powell
-0.14756426824331523,0.037060983033781636,95.0,two-sided,wald_normal,ok,-0.28803666170021774,0.37042377972437207,95.0,two-sided,wald_normal,ok,-0.19135004989407134,0.3819507406458942,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,C5SPGP,126,,0.09530034537591144,0.1462528890995164,0.5146505876715726,0.04119355901207718,0.8062765496698918,-0.055251642604766796,0.2407587971935523,0.09089805946363555,-122.92898988425088,True,powell
-0.02797959550272188,0.09391605224238572,95.0,two-sided,wald_normal,ok,-0.3988616611901609,0.050544093940096846,95.0,two-sided,wald_normal,ok,-0.4420141138798056,-0.0490334858463046,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,C5SPGN,126,,-0.24552379986305511,0.10025200236669707,0.014322708397817907,-0.17415878362503204,0.12873866833018877,0.032968228369831924,0.28905617811949,1.606629215178045e-11,-74.87287320691013,True,powell
-0.011134531606626738,0.042806512161455625,95.0,two-sided,wald_normal,ok,-0.1650709402389247,0.033707050015599566,95.0,two-sided,wald_normal,ok,-0.18516402974518098,-0.011707134121817286,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,C5SPGN_log,126,,-0.09843558193349913,0.044250021171707635,0.02611268135022371,-0.06568194511166257,0.19523174295198786,0.015835990277414443,0.24981003893274067,5.795008097381116e-12,19.405234373249527,True,powell
