predictor,outcome,n,df_resid,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,128,100,0.028232931047918616,0.03985071119037901,0.7084674326900037,0.7598483639715802,0.48030327205683965,0.27535097262893293,0.07969573523874485
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,128,100,0.029301199712476314,0.04456729368450467,0.6574597039681561,0.7438020744227624,0.5123958511544753,0.2748482620483257,0.07905729280137364
