ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,variable,n,mean,sd,t,df,p,roi,condition,trial_type
0.03187280638137441,0.06645819181341096,95.0,two-sided,student_t,ok,l_amyg_neg_image,127,0.049165499097392686,0.09847480785302345,5.626485067572382,126,1.1330867901941418e-07,l_amyg,neg,image
-0.0012500737145595825,0.03078832351253171,95.0,two-sided,student_t,ok,l_amyg_neu_image,127,0.014769124898986064,0.09122278012649211,1.8245397099430118,126,0.07043968161156909,l_amyg,neu,image
0.02417437846610387,0.05598184783577104,95.0,two-sided,student_t,ok,l_amyg_pos_image,127,0.040078113150937456,0.09056526030695915,4.987093238147662,126,1.9849109175849816e-06,l_amyg,pos,image
0.04640029277859744,0.07665375170693713,95.0,two-sided,student_t,ok,r_amyg_neg_image,127,0.06152702224276728,0.08614053357051621,8.049338657998707,126,5.334819900725886e-13,r_amyg,neg,image
0.022745641761991633,0.04983988943778621,95.0,two-sided,student_t,ok,r_amyg_neu_image,127,0.03629276559988892,0.0771453259943903,5.301665286719752,126,4.974293611466574e-07,r_amyg,neu,image
0.034939437436333556,0.06197417816706159,95.0,two-sided,student_t,ok,r_amyg_pos_image,127,0.048456807801697574,0.07697589214514604,7.094175532132895,126,8.322207975759094e-11,r_amyg,pos,image
-0.06182629413428241,-0.01750751502513227,95.0,two-sided,student_t,ok,ant_vmPFC_neg_image,127,-0.03966690457970734,0.12618865461627904,-3.5425000242427447,126,0.0005565424000754017,ant_vmPFC,neg,image
-0.04798720927963407,-0.009792485220001135,95.0,two-sided,student_t,ok,ant_vmPFC_neu_image,127,-0.028889847249817604,0.10875166102059908,-2.9937201961954445,126,0.0033178529273296714,ant_vmPFC,neu,image
-0.03164417323728905,0.0068283395078273385,95.0,two-sided,student_t,ok,ant_vmPFC_pos_image,127,-0.012407916864730854,0.10954260745895761,-1.2764907179126084,126,0.20412982209021982,ant_vmPFC,pos,image
-0.0312710341937608,0.007225420831708868,95.0,two-sided,student_t,ok,post_vmPFC_neg_image,127,-0.012022806681025965,0.10961077820298432,-1.2361024389983961,126,0.21871989436846284,post_vmPFC,neg,image
-0.03453680995147902,0.0037404272779719607,95.0,two-sided,student_t,ok,post_vmPFC_neu_image,127,-0.015398191336753532,0.10898660038708795,-1.5922031047454108,126,0.11384478846373626,post_vmPFC,neu,image
-0.032342114613085934,0.005567571537821201,95.0,two-sided,student_t,ok,post_vmPFC_pos_image,127,-0.013387271537632365,0.10794007390245752,-1.397691170961875,126,0.16466179216682192,post_vmPFC,pos,image
