ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,variable,n,mean,sd,t,df,p,connection,condition
0.13960863258749365,0.24345105768335554,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg,127,0.1915298451354246,0.2956700563132869,7.30013638592262,126,2.8553797090828705e-11,l_amyg-ant_vmPFC,neg
0.17197262640823308,0.2987188633466148,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neu,127,0.23534574487742393,0.3608839737561358,7.349209280855622,126,2.2092069052330645e-11,l_amyg-ant_vmPFC,neu
0.1880692377243736,0.2976208994892354,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_pos,127,0.24284506860680452,0.3119259394542168,8.773636909992826,126,1.0239557639266656e-14,l_amyg-ant_vmPFC,pos
0.039391283061768534,0.1321655207822749,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg,127,0.08577840192202171,0.26415565763147303,3.659484353810066,126,0.0003702012408625154,l_amyg-post_vmPFC,neg
0.02823656154066819,0.13359745277799878,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neu,127,0.08091700715933349,0.2999935779292681,3.0396929351480146,126,0.002880668928891306,l_amyg-post_vmPFC,neu
0.0767419868858075,0.18002521692344145,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_pos,127,0.12838360190462447,0.2940778628123768,4.919818519451044,126,2.6510210551137624e-06,l_amyg-post_vmPFC,pos
0.17734290276824838,0.2744968723866813,95.0,two-sided,student_t,ok,r_amyg-ant_vmPFC_neg,127,0.22591988757746484,0.2766260479916906,9.203716897446375,126,9.44599448756539e-16,r_amyg-ant_vmPFC,neg
0.19075409955228445,0.31007547577182065,95.0,two-sided,student_t,ok,r_amyg-ant_vmPFC_neu,127,0.25041478766205255,0.3397432021993009,8.30636586305098,126,1.3251562483489537e-13,r_amyg-ant_vmPFC,neu
0.21107341078495107,0.32007136341196557,95.0,two-sided,student_t,ok,r_amyg-ant_vmPFC_pos,127,0.2655723870984583,0.31034936598901347,9.64348291129088,126,8.094021388103166e-17,r_amyg-ant_vmPFC,pos
0.06984703403766568,0.17145463223065516,95.0,two-sided,student_t,ok,r_amyg-post_vmPFC_neg,127,0.12065083313416042,0.2893068440172263,4.699736163862022,126,6.716946100864219e-06,r_amyg-post_vmPFC,neg
0.08147550931463074,0.1875398076575935,95.0,two-sided,student_t,ok,r_amyg-post_vmPFC_neu,127,0.13450765848611212,0.3019963857252285,5.0193459258602084,126,1.726340418446403e-06,r_amyg-post_vmPFC,neu
0.11416134231547498,0.22407142060703816,95.0,two-sided,student_t,ok,r_amyg-post_vmPFC_pos,127,0.16911638146125657,0.3129464571716677,6.090002890092024,126,1.2657996328752454e-08,r_amyg-post_vmPFC,pos
