ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,beta,se,t,p,r_squared,adj_r_squared
0.3409211138339864,0.6312961860326215,95.0,two-sided,student_t,ok,PA_score,C5SPGP,136,0.48610864993330394,0.07316196381827883,6.644281052114873,1.721799852013794e-09,0.557404291174637,0.3903018296793468
0.30290004234104334,0.8243334839676746,95.0,two-sided,student_t,ok,NA_score,C5SPGN,136,0.5636167631543589,0.13137868309794784,4.290016841881122,4.194345826230923e-05,0.3446501767429446,0.09722218224793389
0.020164055231758005,0.06519407701448321,95.0,two-sided,student_t,ok,NA_score_log,C5SPGN_log,136,0.042679066123120606,0.011345618614776998,3.761722262330733,0.0002873326511426508,0.3377248222802839,0.08768215314120731
