ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,n_groups,beta,se,z,p
0.36727335997420407,0.6452376088980359,95.0,two-sided,wald_normal,ok,PA_score,C5SPGP,136,,0.50625548443612,0.07091055017244663,7.139353498244796,9.376943665984072e-13
0.35855753164626003,0.8338534458459567,95.0,two-sided,wald_normal,ok,NA_score,C5SPGN,136,,0.5962054887461083,0.12125118572299547,4.9171105848661165,8.78309411866951e-07
0.03416345239434884,0.08727705088979447,95.0,two-sided,wald_normal,ok,NA_score_log,C5SPGN_log,136,,0.060720251642071656,0.013549636349034704,4.481319651534224,7.418290548288908e-06
