moderator_ci_low,moderator_ci_high,moderator_ci_level,moderator_ci_sidedness,moderator_ci_method,moderator_ci_status,predictor_ci_low,predictor_ci_high,predictor_ci_level,predictor_ci_sidedness,predictor_ci_method,predictor_ci_status,interaction_ci_low,interaction_ci_high,interaction_ci_level,interaction_ci_sidedness,interaction_ci_method,interaction_ci_status,predictor,moderator,outcome,n,n_groups,beta_interaction,se_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,re_var,log_likelihood,converged,optimizer
-0.17129031274953996,0.050252456494533304,95.0,two-sided,wald_normal,ok,-0.46062297951985787,0.4781936830257051,95.0,two-sided,wald_normal,ok,-0.24418505220244516,0.4801708804190439,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,PA_score,80,,0.11799291410829935,0.1847880722133458,0.5231280755282541,0.008785351752923632,0.970738328837508,-0.06051892812750333,0.2842556282345532,0.4214126008284076,-86.50316672720629,True,lbfgs
-0.03419828637201005,0.028549509617138095,95.0,two-sided,wald_normal,ok,-0.2604928252373647,0.0015768537404952931,95.0,two-sided,wald_normal,ok,-0.1169464729560501,0.08964030148781987,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score,80,,-0.013653085734115113,0.052701676171960324,0.795586172475679,-0.12945798574843473,0.05282141338436808,-0.0028243883774359776,0.859946055265477,0.015885514502568577,8.975588671669186,True,lbfgs
-0.3653315472311749,0.17844348293432388,95.0,two-sided,wald_normal,ok,-2.5044803622542777,-0.42532856778530714,95.0,two-sided,wald_normal,ok,-0.756802994026374,0.9947286558971516,95.0,two-sided,wald_normal,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SES,NA_score_log,80,,0.11896283093538881,0.4468275090102124,0.7900552837487891,-1.4649044650197924,0.005747364097439478,-0.09344403214842549,0.5005574494882905,0.13197085675672898,-139.4524008951347,True,lbfgs
-0.1548407180327997,0.025218366284598337,95.0,two-sided,wald_normal,ok,-0.6742592594327405,0.011220578683516336,95.0,two-sided,wald_normal,ok,-0.2727453214519892,0.2296051090627727,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,PA_score,80,,-0.021570106194608238,0.12815297487026242,0.8663352392452468,-0.33151934037461206,0.057986639167950216,-0.06481117587410068,0.15825808673428332,0.46198640966419535,-85.76667518187725,True,lbfgs
-0.024262454460217246,0.03678620874991183,95.0,two-sided,wald_normal,ok,-0.1750411296936139,0.05221119273452289,95.0,two-sided,wald_normal,ok,0.0011696158491170672,0.19377944275613412,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score,80,,0.0974745293026256,0.0491360628119442,0.04728175383299327,-0.061414968479545515,0.2894353937105578,0.006261877144847293,0.6876292395419639,0.014003392575244779,9.503837287249283,True,lbfgs
-0.3039150003648347,0.236992206181495,95.0,two-sided,wald_normal,ok,-1.8308565289053615,0.2810226535133632,95.0,two-sided,wald_normal,ok,-0.3703331543411672,1.4170287059410591,95.0,two-sided,wald_normal,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SES,NA_score_log,80,,0.523347775799946,0.4559680367549375,0.2510623094369637,-0.7749169376959991,0.15033515369891814,-0.03346139709166986,0.8083981012881183,2.367298150984335e-07,-141.4835754342028,True,lbfgs
