predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed,re_var,log_likelihood,converged,degenerate_re,optimizer
C5PAGE,neg_persist_concat_z_L,127,,-0.0009785310894496473,0.0031531848554939793,-0.3103310253899942,0.7563092401213363,0.7563092401213363,2.0633198636663138e-11,-48.020214371763416,True,False,powell
C5PAGE,neg_persist_concat_z_R,127,,-0.001932723349491547,0.0027459073380227423,-0.7038559978805591,0.4815224564403149,0.4815224564403149,3.0912307895892845e-11,-31.257164740246083,True,False,powell
