predictor,outcome,n,r,p,p_two_tailed
C5PAGE,neg_persist_concat_z_L,127,-0.03593060784919899,0.6883882007417456,0.6883882007417456
C5PAGE,neg_persist_concat_z_R,127,-0.09168165195447897,0.3052947716477549,0.3052947716477549
