ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed
-0.004947622012270331,0.021524329425793694,95.0,two-sided,wald_normal,ok,C5PAGE,PA_score,137,,0.00828835370676168,0.006753172927378105,1.2273273312993043,0.10984979350542134,0.2196995870108427
-0.007281848954995023,0.0029763093031402892,95.0,two-sided,wald_normal,ok,C5PAGE,NA_score,137,,-0.0021527698259273666,0.002616925193281702,-0.8226333070024555,0.20535827600714107,0.41071655201428214
-0.06005369851598802,-0.0037688298939129866,95.0,two-sided,wald_normal,ok,C5PAGE,NA_score_log,137,,-0.0319112642049505,0.014358648696109443,-2.222442019463645,0.013126724148381008,0.026253448296762016
