moderator_ci_low,moderator_ci_high,moderator_ci_level,moderator_ci_sidedness,moderator_ci_method,moderator_ci_status,predictor_ci_low,predictor_ci_high,predictor_ci_level,predictor_ci_sidedness,predictor_ci_method,predictor_ci_status,interaction_ci_low,interaction_ci_high,interaction_ci_level,interaction_ci_sidedness,interaction_ci_method,interaction_ci_status,predictor,moderator,outcome,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_predictor,p_predictor,beta_moderator,p_moderator,r_squared,adj_r_squared
-0.05203076527129612,0.19209739070910858,95.0,two-sided,student_t,ok,-0.38314939737090364,0.37781553425011255,95.0,two-sided,student_t,ok,-0.28978878320295753,0.41184848539855445,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SER,C5SPGP,126,0.06102985109779846,0.17678225637724387,0.3452261123286266,0.7306642713451936,-0.002666931560395547,0.9889302135392899,0.07003331271890623,0.25765708444936575,0.24897083572070844,0.04205463739886284
-0.12795787217040416,0.04015746870805364,95.0,two-sided,student_t,ok,-0.6486903655725391,-0.12466281798278889,95.0,two-sided,student_t,ok,-0.41329642048886267,0.06987598586577826,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SER,C5SPGN,126,-0.1717102173115422,0.12173855642652207,-1.410483435584203,0.16156327756089503,-0.386676591777664,0.004233896836506478,-0.043900201731175266,0.30255977910022785,0.21093694177653055,-0.006457982427894748
-0.05688547427139327,0.016283233170724783,95.0,two-sided,student_t,ok,-0.2782916301247814,-0.05021953318911031,95.0,two-sided,student_t,ok,-0.17977535981669515,0.030515386167195124,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,C5SER,C5SPGN_log,126,-0.07462998682475001,0.05298417606063557,-1.4085334976114905,0.1621379232212113,-0.16425558165694587,0.005201622870941049,-0.020301120550334242,0.2735043386585058,0.24481448345544832,0.03675316767276571
-0.045579748934999706,0.19000509342426058,95.0,two-sided,student_t,ok,-0.2235716683122887,0.48887352682732776,95.0,two-sided,student_t,ok,-0.23111847513265849,0.4436175214204727,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SER,C5SPGP,126,0.10624952314390712,0.17000429889843188,0.6249813906610991,0.5334357993580107,0.13265092925751953,0.4616852905969753,0.07221267224463043,0.22668665575165783,0.25773574936361965,0.053234374188290356
-0.09941328852912024,0.06464963183708086,95.0,two-sided,student_t,ok,-0.5737479242396961,-0.07759614238088769,95.0,two-sided,student_t,ok,-0.40740658399827206,0.06248425007284614,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SER,C5SPGN,126,-0.17246116696271296,0.11839217444028795,-1.4566939730437602,0.1483974950501264,-0.32567203331029193,0.010612250602615612,-0.01738182834601968,0.6750457988605277,0.20244490994400288,-0.01728965568366969
-0.04481697606744538,0.02699996739433365,95.0,two-sided,student_t,ok,-0.24416079178429556,-0.02697518770824127,95.0,two-sided,student_t,ok,-0.1674581194609105,0.038232010815752504,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,C5SER,C5SPGN_log,126,-0.064613054322579,0.0518250198101854,-1.2467540689657453,0.21545935525185417,-0.1355679897462684,0.014944905460233925,-0.008908504336555862,0.6235907752084835,0.22785383965416028,0.015119693436428938
