predictor,outcome,n,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
neg_persist_crossrun_mean_z_L,NA_score_log,83,1.4002979100613597,1.7566155729922566,0.797156720907388,0.4289849800919632,0.4289849800919632,0.4528163610334751,0.13713349239894157
neg_persist_crossrun_mean_z_L,C5SPGN_log,83,0.01593356390252751,0.1915967670281702,0.08316196640303863,0.9340302707117578,0.9340302707117578,0.39530052300933727,0.0817526460512158
