ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,n_groups,beta,se,z,p,p_two_tailed,re_var,log_likelihood,converged,degenerate_re,optimizer
0.1031376722097837,0.8388996817416794,95.0,two-sided,wald_normal,ok,l_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,81,,0.4710186769757315,0.18769783917854935,2.509451781848541,0.0060459361393351285,0.012091872278670257,0.45701773333853424,-83.51348790134861,True,False,lbfgs
-0.1577845820052345,0.0805976217289982,95.0,two-sided,wald_normal,ok,l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,81,,-0.038593480138118155,0.06081290411828001,-0.6346264941245781,0.2628360222273032,0.5256720444546064,0.01178660127951791,13.311772896261232,True,False,powell
-1.6607700945256765,0.48276637979096326,95.0,two-sided,wald_normal,ok,l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score_log,81,,-0.5890018573673567,0.5468305773025888,-1.0771194622524416,0.14071344967499655,0.2814268993499931,0.18770755950875564,-143.27500481298844,True,False,powell
-0.07216399667583723,0.6676904699705528,95.0,two-sided,wald_normal,ok,r_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,81,,0.2977632366473578,0.1887418525244004,1.5776216703651524,0.05732627545740532,0.11465255091481064,0.4249256379568035,-84.43474695529889,True,False,lbfgs
-0.10661943339680514,0.1340802607813312,95.0,two-sided,wald_normal,ok,r_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,81,,0.013730413692263032,0.061404111523666975,0.22360739943238037,0.5884685972309492,0.8230628055381015,0.010791395127319742,13.14333502923347,True,False,powell
-1.003761663292713,1.147628176342864,95.0,two-sided,wald_normal,ok,r_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score_log,81,,0.07193325652507546,0.5488340236365223,0.13106559256011954,0.5521382902606301,0.8957234194787398,5.982565178284859e-10,-143.82902818879515,True,False,powell
