predictor,outcome,n,r,p,p_two_tailed
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,81,-0.05480524568052239,0.6864973604183123,0.6270052791633753
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,81,-0.04342114668516156,0.3501565104970987,0.7003130209941975
l_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score_log,81,-0.042965065685185384,0.35165677450239885,0.7033135490047977
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,PA_score,81,0.03298425025233375,0.38501953764567975,0.7700390752913595
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score,81,0.041673924609286594,0.6440838196801918,0.7118323606396164
r_amyg-ant_minus_post_vmPFC_neg_vs_neu,NA_score_log,81,0.03372518685484887,0.6174895584380353,0.7650208831239295
