ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,r,p,p_two_tailed
-0.19315991133673005,0.24325125701234368,95.0,two-sided,fisher_z,ok,ant_vmPFC_neg_image_mean_z,PA_score,81,0.026298674754442555,0.8157229207199196,0.8157229207199196
-0.3084445872985701,0.12437160558535534,95.0,two-sided,fisher_z,ok,ant_vmPFC_neg_image_mean_z,NA_score,81,-0.09660114403360316,0.39094434387465204,0.39094434387465204
-0.23447474784509215,0.20210393355253733,95.0,two-sided,fisher_z,ok,post_vmPFC_neg_image_mean_z,PA_score,81,-0.016995468044381144,0.8802970639834747,0.8802970639834747
-0.2062257353297539,0.23040604430600128,95.0,two-sided,fisher_z,ok,post_vmPFC_neg_image_mean_z,NA_score,81,0.01269533000762127,0.9104376030069324,0.9104376030069324
